"","chr","hg38.start","hg38.end","hg19.coord","score","strand","hg38.coord","hg38.id","DS.gok","DS.liu","DS.sy5y","DS.esc","DS.org","nDS","DB.atlas","DB.pedia","DB.base","DB.fun","nDB", "reason.excluded"
"17","chr1",20969474,21050994,"chr1_21295967_21377487_+",0,"+","chr1_20969474_21050994_+","chr1_20969474_21050994_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"18","chr1",20969474,21089213,"chr1_21295967_21415706_+",0,"+","chr1_20969474_21089213_+","chr1_20969474_21089213_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"19","chr1",21680808,21724095,"chr1_22007301_22050588_+",0,"+","chr1_21680808_21724095_+","chr1_21680808_21724095_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"20","chr1",21715389,21724095,"chr1_22041882_22050588_+",0,"+","chr1_21715389_21724095_+","chr1_21715389_21724095_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"21","chr1",22078429,22091501,"chr1_22404922_22417994_-",0,"-","chr1_22078429_22091501_-","chr1_22078429_22091501_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"22","chr1",23030469,23040434,"chr1_23356962_23366927_-",0,"-","chr1_23030469_23040434_-","chr1_23030469_23040434_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"23","chr1",23030469,23050520,"chr1_23356962_23377013_-",0,"-","chr1_23030469_23050520_-","chr1_23030469_23050520_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"24","chr1",23055069,23069151,"chr1_23381562_23395644_-",0,"-","chr1_23055069_23069151_-","chr1_23055069_23069151_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: MIR4419A"
"25","chr1",23692619,23693913,"chr1_24019109_24020403_-",0,"-","chr1_23692619_23693913_-","chr1_23692619_23693913_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"26","chr1",26729651,26732792,"chr1_27056142_27059283_-",0,"-","chr1_26729651_26732792_-","chr1_26729651_26732792_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"27","chr1",28027789,28048426,"chr1_28354300_28374937_+",0,"+","chr1_28027789_28048426_+","chr1_28027789_28048426_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"28","chr1",28035544,28048426,"chr1_28362055_28374937_+",0,"+","chr1_28035544_28048426_+","chr1_28035544_28048426_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"29","chr1",28035544,28058094,"chr1_28362055_28384605_+",0,"+","chr1_28035544_28058094_+","chr1_28035544_28058094_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"30","chr1",28473554,28474151,"chr1_28800066_28800663_-",0,"-","chr1_28473554_28474151_-","chr1_28473554_28474151_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"31","chr1",28473554,28480604,"chr1_28800066_28807116_-",0,"-","chr1_28473554_28480604_-","chr1_28473554_28480604_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"32","chr1",28993330,29018442,"chr1_29319842_29344954_-",0,"-","chr1_28993330_29018442_-","chr1_28993330_29018442_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"33","chr1",28993330,29039426,"chr1_29319842_29365938_-",0,"-","chr1_28993330_29039426_-","chr1_28993330_29039426_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"34","chr1",29035826,29065158,"chr1_29362338_29391670_-",0,"-","chr1_29035826_29065158_-","chr1_29035826_29065158_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"35","chr1",31915895,31919658,"chr1_32381496_32385259_+",0,"+","chr1_31915895_31919658_+","chr1_31915895_31919658_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"36","chr1",32030298,32033334,"chr1_32495899_32498935_-",0,"-","chr1_32030298_32033334_-","chr1_32030298_32033334_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"37","chr1",32948222,32949774,"chr1_33413823_33415375_+",0,"+","chr1_32948222_32949774_+","chr1_32948222_32949774_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"38","chr1",35381259,35390098,"chr1_35846860_35855699_-",0,"-","chr1_35381259_35390098_-","chr1_35381259_35390098_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"39","chr1",38354520,38355096,"chr1_38820192_38820768_+",0,"+","chr1_38354520_38355096_+","chr1_38354520_38355096_","FALSE","TRUE","FALSE","FALSE","FALSE",1,"TRUE","FALSE","TRUE","FALSE",2,"ERROR: no Ensembl ID found for gene symbol/alias: "
"40","chr1",39309570,39318615,"chr1_39775242_39784287_-",0,"-","chr1_39309570_39318615_-","chr1_39309570_39318615_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"41","chr1",39447432,39448763,"chr1_39913104_39914435_-",0,"-","chr1_39447432_39448763_-","chr1_39447432_39448763_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"42","chr1",39841135,39857417,"chr1_40306807_40323089_+",0,"+","chr1_39841135_39857417_+","chr1_39841135_39857417_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"43","chr1",40189055,40202614,"chr1_40654727_40668286_-",0,"-","chr1_40189055_40202614_-","chr1_40189055_40202614_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"44","chr1",41046407,41070721,"chr1_41512079_41536393_+",0,"+","chr1_41046407_41070721_+","chr1_41046407_41070721_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"45","chr1",41955364,41955604,"chr1_42421035_42421275_+",0,"+","chr1_41955364_41955604_+","chr1_41955364_41955604_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"46","chr1",42188737,42205863,"chr1_42654408_42671534_+",0,"+","chr1_42188737_42205863_+","chr1_42188737_42205863_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"47","chr1",42188737,42227966,"chr1_42654408_42693637_+",0,"+","chr1_42188737_42227966_+","chr1_42188737_42227966_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"48","chr1",42482663,42498916,"chr1_42948334_42964587_-",0,"-","chr1_42482663_42498916_-","chr1_42482663_42498916_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"49","chr1",42566296,42589483,"chr1_43031967_43055154_-",0,"-","chr1_42566296_42589483_-","chr1_42566296_42589483_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"50","chr1",42566296,42611090,"chr1_43031967_43076761_-",0,"-","chr1_42566296_42611090_-","chr1_42566296_42611090_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"51","chr1",42566296,42646317,"chr1_43031967_43111988_-",0,"-","chr1_42566296_42646317_-","chr1_42566296_42646317_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"52","chr1",42696743,42697262,"chr1_43162414_43162933_-",0,"-","chr1_42696743_42697262_-","chr1_42696743_42697262_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"53","chr1",44411981,44412722,"chr1_44877653_44878394_-",0,"-","chr1_44411981_44412722_-","chr1_44411981_44412722_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"54","chr1",45087881,45090347,"chr1_45553553_45556019_+",0,"+","chr1_45087881_45090347_+","chr1_45087881_45090347_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"55","chr1",45604959,45607349,"chr1_46070631_46073021_-",0,"-","chr1_45604959_45607349_-","chr1_45604959_45607349_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"56","chr1",46043654,46080750,"chr1_46509326_46546422_+",0,"+","chr1_46043654_46080750_+","chr1_46043654_46080750_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: RP4-533D7.4"
"57","chr1",46045918,46066179,"chr1_46511590_46531851_+",0,"+","chr1_46045918_46066179_+","chr1_46045918_46066179_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: RP4-533D7.4"
"58","chr1",46055795,46067091,"chr1_46521467_46532763_+",0,"+","chr1_46055795_46067091_+","chr1_46055795_46067091_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"59","chr1",46055795,46077613,"chr1_46521467_46543285_+",0,"+","chr1_46055795_46077613_+","chr1_46055795_46077613_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"60","chr1",46066143,46077606,"chr1_46531815_46543278_+",0,"+","chr1_46066143_46077606_+","chr1_46066143_46077606_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"61","chr1",47046467,47068763,"chr1_47512139_47534435_+",0,"+","chr1_47046467_47068763_+","chr1_47046467_47068763_","FALSE","TRUE","FALSE","FALSE","FALSE",1,"TRUE","FALSE","TRUE","FALSE",2,"ERROR: no Ensembl ID found for gene symbol/alias: "
"62","chr1",48395267,48403882,"chr1_48860939_48869554_+",0,"+","chr1_48395267_48403882_+","chr1_48395267_48403882_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"63","chr1",52509596,52526373,"chr1_52975268_52992045_+",0,"+","chr1_52509596_52526373_+","chr1_52509596_52526373_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"64","chr1",52771020,52796784,"chr1_53236692_53262456_-",0,"-","chr1_52771020_52796784_-","chr1_52771020_52796784_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: RP11-159C21.4"
"65","chr1",55071814,55086038,"chr1_55537487_55551711_+",0,"+","chr1_55071814_55086038_+","chr1_55071814_55086038_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"66","chr1",56751044,56789134,"chr1_57216717_57254807_+",0,"+","chr1_56751044_56789134_+","chr1_56751044_56789134_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"67","chr1",56787175,56792803,"chr1_57252848_57258476_+",0,"+","chr1_56787175_56792803_+","chr1_56787175_56792803_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"68","chr1",60825336,60826585,"chr1_61291008_61292257_-",0,"-","chr1_60825336_60826585_-","chr1_60825336_60826585_","TRUE","FALSE","FALSE","FALSE","FALSE",1,"TRUE","TRUE","TRUE","FALSE",3,"ERROR: no Ensembl ID found for gene symbol/alias: RP11-436K8.1"
"69","chr1",61277520,61406727,"chr1_61743192_61872399_-",0,"-","chr1_61277520_61406727_-","chr1_61277520_61406727_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"70","chr1",61383237,61406727,"chr1_61848909_61872399_-",0,"-","chr1_61383237_61406727_-","chr1_61383237_61406727_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"71","chr1",62372624,62395686,"chr1_62838295_62861357_-",0,"-","chr1_62372624_62395686_-","chr1_62372624_62395686_","FALSE","TRUE","FALSE","FALSE","FALSE",1,"TRUE","FALSE","FALSE","FALSE",1,"ERROR: no Ensembl ID found for gene symbol/alias: "
"72","chr1",62443159,62448666,"chr1_62908830_62914337_-",0,"-","chr1_62443159_62448666_-","chr1_62443159_62448666_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"73","chr1",62444738,62447511,"chr1_62910409_62913182_-",0,"-","chr1_62444738_62447511_-","chr1_62444738_62447511_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"74","chr1",62444738,62448666,"chr1_62910409_62914337_-",0,"-","chr1_62444738_62448666_-","chr1_62444738_62448666_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"75","chr1",62473982,62477834,"chr1_62939653_62943505_+",0,"+","chr1_62473982_62477834_+","chr1_62473982_62477834_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"76","chr1",62803719,62866598,"chr1_63269390_63332269_+",0,"+","chr1_62803719_62866598_+","chr1_62803719_62866598_","FALSE","TRUE","FALSE","FALSE","FALSE",1,"TRUE","FALSE","FALSE","FALSE",1,"ERROR: no Ensembl ID found for gene symbol/alias: "
"77","chr1",64582156,64641969,"chr1_65047839_65107652_-",0,"-","chr1_64582156_64641969_-","chr1_64582156_64641969_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"78","chr1",64629355,64648034,"chr1_65095038_65113717_-",0,"-","chr1_64629355_64648034_-","chr1_64629355_64648034_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"79","chr1",65364635,65395032,"chr1_65830318_65860715_-",0,"-","chr1_65364635_65395032_-","chr1_65364635_65395032_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"80","chr1",66871370,66905375,"chr1_67337053_67371058_+",0,"+","chr1_66871370_66905375_+","chr1_66871370_66905375_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"81","chr1",70043954,70107826,"chr1_70509637_70573509_-",0,"-","chr1_70043954_70107826_-","chr1_70043954_70107826_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"82","chr1",72520307,72557986,"chr1_72985990_73023669_+",0,"+","chr1_72520307_72557986_+","chr1_72520307_72557986_","FALSE","TRUE","FALSE","FALSE","FALSE",1,"TRUE","FALSE","TRUE","FALSE",2,"ERROR: no Ensembl ID found for gene symbol/alias: "
"83","chr1",72533764,72557986,"chr1_72999447_73023669_+",0,"+","chr1_72533764_72557986_+","chr1_72533764_72557986_","FALSE","TRUE","FALSE","FALSE","FALSE",1,"TRUE","FALSE","TRUE","FALSE",2,"ERROR: no Ensembl ID found for gene symbol/alias: "
"84","chr1",72555211,72557986,"chr1_73020894_73023669_+",0,"+","chr1_72555211_72557986_+","chr1_72555211_72557986_","FALSE","TRUE","FALSE","FALSE","FALSE",1,"TRUE","FALSE","TRUE","FALSE",2,"ERROR: no Ensembl ID found for gene symbol/alias: "
"85","chr1",72555211,72624716,"chr1_73020894_73090399_+",0,"+","chr1_72555211_72624716_+","chr1_72555211_72624716_","FALSE","TRUE","FALSE","FALSE","FALSE",1,"TRUE","FALSE","FALSE","FALSE",1,"ERROR: no Ensembl ID found for gene symbol/alias: "
"86","chr1",77044204,77068843,"chr1_77509889_77534528_+",0,"+","chr1_77044204_77068843_+","chr1_77044204_77068843_","FALSE","TRUE","FALSE","FALSE","FALSE",1,"TRUE","FALSE","TRUE","FALSE",2,"ERROR: no Ensembl ID found for gene symbol/alias: "
"87","chr1",77631835,77641655,"chr1_78097520_78107340_-",0,"-","chr1_77631835_77641655_-","chr1_77631835_77641655_","TRUE","TRUE","TRUE","TRUE","TRUE",5,"TRUE","FALSE","TRUE","FALSE",2,"ERROR: no Ensembl ID found for gene symbol/alias: "
"88","chr1",77631850,77633405,"chr1_78097535_78099090_-",0,"-","chr1_77631850_77633405_-","chr1_77631850_77633405_","TRUE","TRUE","FALSE","FALSE","FALSE",2,"TRUE","TRUE","TRUE","FALSE",3,"ERROR: no Ensembl ID found for gene symbol/alias: "
"89","chr1",77631850,77641655,"chr1_78097535_78107340_-",0,"-","chr1_77631850_77641655_-","chr1_77631850_77641655_","TRUE","TRUE","FALSE","TRUE","TRUE",4,"TRUE","TRUE","TRUE","FALSE",3,"ERROR: no Ensembl ID found for gene symbol/alias: "
"90","chr1",77633115,77641655,"chr1_78098800_78107340_-",0,"-","chr1_77633115_77641655_-","chr1_77633115_77641655_","TRUE","TRUE","FALSE","FALSE","FALSE",2,"TRUE","FALSE","TRUE","FALSE",2,"ERROR: no Ensembl ID found for gene symbol/alias: "
"91","chr1",77717867,77725762,"chr1_78183552_78191447_+",0,"+","chr1_77717867_77725762_+","chr1_77717867_77725762_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"92","chr1",77783238,77843407,"chr1_78248923_78309092_-",0,"-","chr1_77783238_77843407_-","chr1_77783238_77843407_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: RP11-181C21.4"
"93","chr1",81942969,81956060,"chr1_82408653_82421744_-",0,"-","chr1_81942969_81956060_-","chr1_81942969_81956060_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"94","chr1",81966058,81985355,"chr1_82431742_82451039_-",0,"-","chr1_81966058_81985355_-","chr1_81966058_81985355_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"95","chr1",82485426,82487324,"chr1_82951109_82953007_-",0,"-","chr1_82485426_82487324_-","chr1_82485426_82487324_","FALSE","TRUE","FALSE","FALSE","FALSE",1,"TRUE","FALSE","FALSE","FALSE",1,"ERROR: no Ensembl ID found for gene symbol/alias: "
"96","chr1",83917604,83942679,"chr1_84383287_84408362_+",0,"+","chr1_83917604_83942679_+","chr1_83917604_83942679_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"97","chr1",84179177,84202805,"chr1_84644860_84668488_-",0,"-","chr1_84179177_84202805_-","chr1_84179177_84202805_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
"98","chr1",84655832,84671308,"chr1_85121515_85136991_+",0,"+","chr1_84655832_84671308_+","chr1_84655832_84671308_","FALSE","FALSE","FALSE","FALSE","TRUE",1,"FALSE","FALSE","FALSE","FALSE",0,"ERROR: no Ensembl ID found for gene symbol/alias: "
