"","Id","Gene symbol","FBN","H9_ESC"
"chr1_112319648_112323413_-","chr1_112319648_112323413","KCND3",0.0117184587779893,0
"chr1_11307682_11308151_-","chr1_11307682_11308151","MTOR",0.0117184587779893,0
"chr1_113084573_113126748_-","chr1_113084573_113126748","ST7L",0.0117184587779893,0
"chr1_113098490_113159517_-","chr1_113098490_113159517","ST7L",0.0117184587779893,0
"chr1_113119608_113121039_-","chr1_113119608_113121039","ST7L",0,0.0371753997442853
"chr1_113119608_113134225_-","chr1_113119608_113134225","ST7L",0.0117184587779893,0
"chr1_113119608_113159517_-","chr1_113119608_113159517","ST7L",0.0117184587779893,0
"chr1_113124614_113140708_-","chr1_113124614_113140708","ST7L",0.0234369175559785,0.0123917999147618
"chr1_113140593_113159517_-","chr1_113140593_113159517","ST7L",0.0234369175559785,0
"chr1_113153463_113159517_-","chr1_113153463_113159517","ST7L",0.0117184587779893,0
"chr1_113196220_113202401_+","chr1_113196220_113202401","CAPZA1",0.0585922938899464,0.0247835998295235
"chr1_113196220_113209767_+","chr1_113196220_113209767","CAPZA1",0.0351553763339678,0
"chr1_113633940_113650379_+","chr1_113633940_113650379","LRIG2",0,0.0247835998295235
"chr1_113633940_113659058_+","chr1_113633940_113659058","LRIG2",0,0.0123917999147618
"chr1_113635828_113641407_+","chr1_113635828_113641407","LRIG2",0.0351553763339678,0
"chr1_113635828_113662145_+","chr1_113635828_113662145","LRIG2",0.0117184587779893,0
"chr1_113655101_113662145_+","chr1_113655101_113662145","LRIG2",0,0.0123917999147618
"chr1_114267381_114269196_-","chr1_114267381_114269196","PHTF1",0.0351553763339678,0.0123917999147618
"chr1_114319832_114320430_-","chr1_114319832_114320430","RSBN1",0,0.0123917999147618
"chr1_114397093_114397671_-","chr1_114397093_114397671","PTPN22",0.0117184587779893,0
"chr1_114483004_114484081_+","chr1_114483004_114484081","HIPK1",0.0234369175559785,0
"chr1_114497273_114511270_+","chr1_114497273_114511270","HIPK1",0,0.0123917999147618
"chr1_114680117_114682502_-","chr1_114680117_114682502","SYT6",0,0.0123917999147618
"chr1_114948032_114952938_-","chr1_114948032_114952938","TRIM33",0.0117184587779893,0
"chr1_114964058_114970516_-","chr1_114964058_114970516","TRIM33",0.0234369175559785,0
"chr1_115005726_115007010_-","chr1_115005726_115007010","TRIM33",0.175776881669839,0.0495671996590471
"chr1_115262200_115263338_-","chr1_115262200_115263338","CSDE1",0.0351553763339678,0
"chr1_115262200_115280693_-","chr1_115262200_115280693","CSDE1",0.0117184587779893,0
"chr1_115267842_115280693_-","chr1_115267842_115280693","CSDE1",0,0.0123917999147618
"chr1_115276353_115280693_-","chr1_115276353_115280693","CSDE1",0,0.0123917999147618
"chr1_116202262_116206889_+","chr1_116202262_116206889","VANGL1",0,0.0247835998295235
"chr1_117944808_117948267_+","chr1_117944808_117948267","MAN1A2",0.117184587779893,0.0743507994885706
"chr1_117944808_117957453_+","chr1_117944808_117957453","MAN1A2",0.80857365568126,0.0867425994033324
"chr1_117944808_117963271_+","chr1_117944808_117963271","MAN1A2",1.81636111058834,0.111526199232856
"chr1_117944808_117984947_+","chr1_117944808_117984947","MAN1A2",0.550767562565496,0
"chr1_117944808_118009049_+","chr1_117944808_118009049","MAN1A2",0.0820292114459249,0
"chr1_117948171_117963271_+","chr1_117948171_117963271","MAN1A2",0.0117184587779893,0
"chr1_117984853_118009049_+","chr1_117984853_118009049","MAN1A2",0.0117184587779893,0
"chr1_117984853_118045592_+","chr1_117984853_118045592","MAN1A2",0.0117184587779893,0
"chr1_118003111_118045592_+","chr1_118003111_118045592","MAN1A2",0.0585922938899464,0.0247835998295235
"chr1_118420631_118455305_-","chr1_118420631_118455305","GDAP2",0.0117184587779893,0
"chr1_118430320_118461358_-","chr1_118430320_118461358","GDAP2",0,0.0123917999147618
"chr1_118449128_118461358_-","chr1_118449128_118461358","GDAP2",0,0.0123917999147618
"chr1_118454616_118461358_-","chr1_118454616_118461358","GDAP2",0.0234369175559785,0
"chr1_118461219_118463047_-","chr1_118461219_118463047","GDAP2",0.0468738351119571,0
"chr1_11893934_11897213_+","chr1_11893934_11897213","CLCN6",0.0117184587779893,0
"chr1_1192372_1192690_-","chr1_1192372_1192690","UBE2J2",0.0585922938899464,0
"chr1_12049222_12052747_+","chr1_12049222_12052747","MFN2",0.0234369175559785,0
"chr1_120508076_120508189_-","chr1_120508076_120508189","NOTCH2",0.0117184587779893,0
"chr1_120529583_120548211_-","chr1_120529583_120548211","NOTCH2",0.0234369175559785,0
"chr1_12065768_12069783_+","chr1_12065768_12069783","MFN2",0,0.0123917999147618
"chr1_121115832_121116815_+","chr1_121115832_121116815","SRGAP2D",0.0117184587779893,0
"chr1_12333060_12338095_+","chr1_12333060_12338095","VPS13D",0.0117184587779893,0
"chr1_12335882_12338095_+","chr1_12335882_12338095","VPS13D",0.0351553763339678,0
"chr1_12359259_12359441_+","chr1_12359259_12359441","VPS13D",0.0117184587779893,0
"chr1_12359259_12368698_+","chr1_12359259_12368698","VPS13D",0.0234369175559785,0.0123917999147618
"chr1_12359259_12382021_+","chr1_12359259_12382021","VPS13D",0.0117184587779893,0
"chr1_12359259_12406709_+","chr1_12359259_12406709","VPS13D",0.0117184587779893,0
"chr1_12382593_12423303_+","chr1_12382593_12423303","VPS13D",0.0117184587779893,0
"chr1_12460238_12476880_+","chr1_12460238_12476880","VPS13D",0.0117184587779893,0
"chr1_12638746_12639440_-","chr1_12638746_12639440","DHRS3",0,0.0247835998295235
"chr1_13933668_13937011_+","chr1_13933668_13937011","PDPN",0,0.0247835998295235
"chr1_14042036_14075982_+","chr1_14042036_14075982","PRDM2",0.0117184587779893,0
"chr1_14057495_14068652_+","chr1_14057495_14068652","PRDM2",0,0.0123917999147618
"chr1_14095613_14099683_+","chr1_14095613_14099683","PRDM2",0.0117184587779893,0
"chr1_14099573_14109326_+","chr1_14099573_14109326","PRDM2",0.0703107526679357,0
"chr1_144598512_144598780_+","chr1_144598512_144598780","NBPF9",0.0117184587779893,0
"chr1_144598512_144615303_+","chr1_144598512_144615303","NBPF9",0.0117184587779893,0
"chr1_144921835_144922638_-","chr1_144921835_144922638","PDE4DIP",0.0117184587779893,0
"chr1_144946625_144952689_-","chr1_144946625_144952689","PDE4DIP",0.0117184587779893,0
"chr1_145227041_145248894_+","chr1_145227041_145248894","NOTCH2NL",0.0117184587779893,0
"chr1_145594039_145595220_-","chr1_145594039_145595220","POLR3C",0.0234369175559785,0.0123917999147618
"chr1_145646115_145663367_+","chr1_145646115_145663367","RNF115",0.0117184587779893,0
"chr1_145787772_145791170_-","chr1_145787772_145791170","GPR89A",0,0.0123917999147618
"chr1_145803308_145818826_-","chr1_145803308_145818826","GPR89A",0.0117184587779893,0
"chr1_145897085_145900490_+","chr1_145897085_145900490","GPR89C",0.0117184587779893,0
"chr1_145916725_145919047_+","chr1_145916725_145919047","GPR89C",0.0117184587779893,0
"chr1_146724278_146731572_+","chr1_146724278_146731572","CHD1L",0.105466129001903,0.0123917999147618
"chr1_146731491_146736243_+","chr1_146731491_146736243","CHD1L",0.0117184587779893,0
"chr1_146736081_146751864_+","chr1_146736081_146751864","CHD1L",0.0117184587779893,0
"chr1_146747017_146757164_+","chr1_146747017_146757164","CHD1L",0.105466129001903,0.0371753997442853
"chr1_146757975_146759412_+","chr1_146757975_146759412","CHD1L",0.0117184587779893,0
"chr1_147120048_147131890_-","chr1_147120048_147131890","ACP6",0.0351553763339678,0
"chr1_147121946_147131890_-","chr1_147121946_147131890","ACP6",0.0117184587779893,0
"chr1_147408741_147442191_+","chr1_147408741_147442191","GPR89B",0,0.0123917999147618
"chr1_147438786_147442191_+","chr1_147438786_147442191","GPR89B",0.0117184587779893,0
"chr1_147458431_147460753_+","chr1_147458431_147460753","GPR89B",0.0117184587779893,0
"chr1_149921997_149931715_-","chr1_149921997_149931715","OTUD7B",0.0117184587779893,0
"chr1_149936147_149937803_-","chr1_149936147_149937803","OTUD7B",0.0117184587779893,0
"chr1_150198940_150201570_-","chr1_150198940_150201570","ANP32E",0.0234369175559785,0
"chr1_150202906_150204264_-","chr1_150202906_150204264","ANP32E",0.0703107526679357,0.0123917999147618
"chr1_150297353_150305670_+","chr1_150297353_150305670","PRPF3",0.0117184587779893,0
"chr1_150390072_150418877_+","chr1_150390072_150418877","RPRD2",0.0117184587779893,0
"chr1_150413399_150418877_+","chr1_150413399_150418877","RPRD2",0.0117184587779893,0
"chr1_150464887_150469384_+","chr1_150464887_150469384","TARS2",0.0234369175559785,0
"chr1_150634290_150636239_-","chr1_150634290_150636239","GOLPH3L",0.0234369175559785,0
"chr1_150789558_150795821_-","chr1_150789558_150795821","ARNT",0.0117184587779893,0
"chr1_150795670_150799093_-","chr1_150795670_150799093","ARNT",0.0234369175559785,0
"chr1_150902443_150915529_+","chr1_150902443_150915529","SETDB1",0,0.0123917999147618
"chr1_150997087_150998149_+","chr1_150997087_150998149","PRUNE",0.0351553763339678,0
"chr1_150997087_151001420_+","chr1_150997087_151001420","PRUNE",0.0117184587779893,0
"chr1_150999709_151001420_+","chr1_150999709_151001420","PRUNE",0.0234369175559785,0
"chr1_151026707_151028469_-","chr1_151026707_151028469","CDC42SE1",0,0.0123917999147618
"chr1_151110187_151112566_-","chr1_151110187_151112566","SEMA6C",0,0.0123917999147618
"chr1_151139410_151139890_+","chr1_151139410_151139890","TNFAIP8L2-SCNM1",0.0585922938899464,0
"chr1_151196724_151205179_+","chr1_151196724_151205179","PIP5K1A",0.0117184587779893,0
"chr1_151196724_151209239_+","chr1_151196724_151209239","PIP5K1A",0.0117184587779893,0
"chr1_151212431_151215043_+","chr1_151212431_151215043","PIP5K1A",0.0117184587779893,0
"chr1_151234637_151236504_+","chr1_151234637_151236504","PSMD4",0.0117184587779893,0
"chr1_151288049_151288985_-","chr1_151288049_151288985","PI4KB",0.0117184587779893,0
"chr1_151340675_151342245_-","chr1_151340675_151342245","SELENBP1",0,0.0123917999147618
"chr1_151380576_151381304_-","chr1_151380576_151381304","POGZ",0.0234369175559785,0
"chr1_151380576_151384872_-","chr1_151380576_151384872","POGZ",0.0117184587779893,0
"chr1_151395873_151403317_-","chr1_151395873_151403317","POGZ",0.0351553763339678,0
"chr1_151395873_151414681_-","chr1_151395873_151414681","POGZ",0.0468738351119571,0.0123917999147618
"chr1_151400299_151403317_-","chr1_151400299_151403317","POGZ",0.0468738351119571,0
"chr1_151400299_151414681_-","chr1_151400299_151414681","POGZ",0.0585922938899464,0
"chr1_151611364_151611595_+","chr1_151611364_151611595","SNX27",0.0468738351119571,0.0247835998295235
"chr1_151611364_151641111_+","chr1_151611364_151641111","SNX27",0.0234369175559785,0
"chr1_151630711_151630903_+","chr1_151630711_151630903","SNX27",0.0234369175559785,0
"chr1_151630711_151641111_+","chr1_151630711_151641111","SNX27",0.0468738351119571,0
"chr1_151640948_151655921_+","chr1_151640948_151655921","SNX27",0.0117184587779893,0
"chr1_153636519_153641052_-","chr1_153636519_153641052","ILF2",0.0117184587779893,0
"chr1_153637696_153641033_-","chr1_153637696_153641033","ILF2",0.0351553763339678,0
"chr1_153721165_153730239_+","chr1_153721165_153730239","INTS3",0.0117184587779893,0
"chr1_153723571_153730239_+","chr1_153723571_153730239","INTS3",0.0351553763339678,0.0123917999147618
"chr1_153734046_153737539_+","chr1_153734046_153737539","INTS3",0.0117184587779893,0
"chr1_153784207_153785928_-","chr1_153784207_153785928","GATAD2B",0.0468738351119571,0
"chr1_153788749_153792211_-","chr1_153788749_153792211","GATAD2B",0.0117184587779893,0
"chr1_153907236_153910339_-","chr1_153907236_153910339","DENND4B",0,0.0123917999147618
"chr1_153925047_153926082_-","chr1_153925047_153926082","CRTC2",0,0.0123917999147618
"chr1_154184796_154186422_-","chr1_154184796_154186422","C1orf43",0.0117184587779893,0
"chr1_154199758_154201201_+","chr1_154199758_154201201","UBAP2L",0,0.0123917999147618
"chr1_154213989_154218851_+","chr1_154213989_154218851","UBAP2L",0.0117184587779893,0.0123917999147618
"chr1_154223517_154224129_+","chr1_154223517_154224129","UBAP2L",0.0117184587779893,0
"chr1_154231453_154232505_+","chr1_154231453_154232505","UBAP2L",0.0117184587779893,0
"chr1_154232424_154239044_+","chr1_154232424_154239044","UBAP2L",0,0.0123917999147618
"chr1_154306583_154307067_+","chr1_154306583_154307067","ATP8B2",0.0117184587779893,0
"chr1_154316369_154316976_+","chr1_154316369_154316976","ATP8B2",0.0117184587779893,0
"chr1_155180137_155180418_+","chr1_155180137_155180418","MTX1",0.0117184587779893,0
"chr1_155307880_155330200_-","chr1_155307880_155330200","ASH1L",0.0117184587779893,0
"chr1_155319118_155319387_-","chr1_155319118_155319387","ASH1L",0.0117184587779893,0
"chr1_155322497_155324421_-","chr1_155322497_155324421","ASH1L",0.0117184587779893,0
"chr1_155340295_155340774_-","chr1_155340295_155340774","ASH1L",0.0351553763339678,0
"chr1_155365250_155429689_-","chr1_155365250_155429689","ASH1L",0.0351553763339678,0
"chr1_155385535_155429689_-","chr1_155385535_155429689","ASH1L",0.0468738351119571,0
"chr1_155408118_155408859_-","chr1_155408118_155408859","ASH1L",0.222650716781796,0.0619589995738088
"chr1_155408118_155429689_-","chr1_155408118_155429689","ASH1L",0.257806093115764,0.0619589995738088
"chr1_155408118_155491409_-","chr1_155408118_155491409","ASH1L",0.0117184587779893,0
"chr1_155640111_155644887_-","chr1_155640111_155644887","YY1AP1",0.0117184587779893,0
"chr1_155640111_155649303_-","chr1_155640111_155649303","YY1AP1",0.0117184587779893,0
"chr1_155644801_155649303_-","chr1_155644801_155649303","YY1AP1",0.16405842289185,0.0123917999147618
"chr1_155646339_155649303_-","chr1_155646339_155649303","YY1AP1",0.140621505335871,0.0247835998295235
"chr1_155646339_155650247_-","chr1_155646339_155650247","YY1AP1",0.0117184587779893,0
"chr1_155679564_155686919_+","chr1_155679564_155686919","DAP3",0.0117184587779893,0
"chr1_155679564_155699157_+","chr1_155679564_155699157","DAP3",0,0.0123917999147618
"chr1_155679564_155701206_+","chr1_155679564_155701206","DAP3",0.0117184587779893,0
"chr1_155686797_155691409_+","chr1_155686797_155691409","DAP3",0.0234369175559785,0
"chr1_155686797_155695810_+","chr1_155686797_155695810","DAP3",0.0234369175559785,0
"chr1_155695173_155695810_+","chr1_155695173_155695810","DAP3",0.0585922938899464,0.0495671996590471
"chr1_155695173_155697529_+","chr1_155695173_155697529","DAP3",0.0117184587779893,0
"chr1_155724166_155730432_-","chr1_155724166_155730432","GON4L",0.0234369175559785,0
"chr1_155737216_155743001_-","chr1_155737216_155743001","GON4L",0.0234369175559785,0
"chr1_155742857_155747611_-","chr1_155742857_155747611","GON4L",0.0234369175559785,0
"chr1_155747413_155753880_-","chr1_155747413_155753880","GON4L",0.0234369175559785,0.0123917999147618
"chr1_155764841_155784240_-","chr1_155764841_155784240","GON4L",0.0117184587779893,0
"chr1_155790397_155796819_-","chr1_155790397_155796819","GON4L",0,0.0123917999147618
"chr1_155823067_155823597_-","chr1_155823067_155823597","GON4L",0.152339964113861,0.0247835998295235
"chr1_155874102_155874595_-","chr1_155874102_155874595","RIT1",0.0117184587779893,0
"chr1_155891166_155891709_-","chr1_155891166_155891709","KIAA0907",0,0.0123917999147618
"chr1_155891166_155895634_-","chr1_155891166_155895634","KIAA0907",0.0117184587779893,0
"chr1_155896467_155896947_-","chr1_155896467_155896947","KIAA0907",0.0117184587779893,0
"chr1_155899087_155899631_-","chr1_155899087_155899631","KIAA0907",0.0234369175559785,0
"chr1_156202111_156203519_+","chr1_156202111_156203519","PMF1",0.0117184587779893,0
"chr1_156230242_156233361_-","chr1_156230242_156233361","SMG5",0.0117184587779893,0
"chr1_156294763_156304709_-","chr1_156294763_156304709","CCT3",0.0234369175559785,0
"chr1_156303338_156304709_-","chr1_156303338_156304709","CCT3",0.117184587779893,0.111526199232856
"chr1_156761489_156767133_+","chr1_156761489_156767133","PRCC",0.0117184587779893,0
"chr1_156921365_156926356_-","chr1_156921365_156926356","ARHGEF11",0.0117184587779893,0
"chr1_15855583_15871078_+","chr1_15855583_15871078","DNAJC16",0.0117184587779893,0
"chr1_15860732_15863309_+","chr1_15860732_15863309","DNAJC16",0.0234369175559785,0
"chr1_15890424_15890854_+","chr1_15890424_15890854","DNAJC16",0,0.0123917999147618
"chr1_1599766_1603068_-","chr1_1599766_1603068","SLC35E2B",0.0117184587779893,0
"chr1_1599766_1608285_-","chr1_1599766_1608285","SLC35E2B",0,0.0123917999147618
"chr1_160188114_160231148_-","chr1_160188114_160231148","DCAF8",0,0.0123917999147618
"chr1_160201087_160210160_-","chr1_160201087_160210160","DCAF8",0,0.0123917999147618
"chr1_160201087_160213824_-","chr1_160201087_160213824","DCAF8",0,0.0123917999147618
"chr1_160206925_160213824_-","chr1_160206925_160213824","DCAF8",0.0117184587779893,0
"chr1_160281658_160282957_-","chr1_160281658_160282957","COPA",0.0117184587779893,0
"chr1_160293221_160302347_-","chr1_160293221_160302347","COPA",0.105466129001903,0
"chr1_16093871_16101291_+","chr1_16093871_16101291","FBLIM1",0,0.0123917999147618
"chr1_161088576_161090022_+","chr1_161088576_161090022","NIT1",0,0.0123917999147618
"chr1_161748034_161772062_+","chr1_161748034_161772062","ATF6",0.0234369175559785,0
"chr1_161771842_161790951_+","chr1_161771842_161790951","ATF6",0.0234369175559785,0
"chr1_161816239_161833102_+","chr1_161816239_161833102","ATF6",0.0703107526679357,0.0123917999147618
"chr1_16199311_16203173_+","chr1_16199311_16203173","SPEN",0.0468738351119571,0.0247835998295235
"chr1_162257134_162302915_+","chr1_162257134_162302915","NOS1AP",0.0117184587779893,0
"chr1_16245421_16247478_+","chr1_16245421_16247478","SPEN",0.0117184587779893,0
"chr1_16268826_16274992_-","chr1_16268826_16274992","ZBTB17",0.0117184587779893,0
"chr1_163297278_163298697_+","chr1_163297278_163298697","NUF2",0.0117184587779893,0
"chr1_16464348_16464925_-","chr1_16464348_16464925","EPHA2",0.0117184587779893,0.0123917999147618
"chr1_164768936_164790863_+","chr1_164768936_164790863","PBX1",0.0117184587779893,0
"chr1_164776779_164790863_+","chr1_164776779_164790863","PBX1",0.0117184587779893,0
"chr1_164789309_164790863_+","chr1_164789309_164790863","PBX1",0.0703107526679357,0
"chr1_16528277_16529069_-","chr1_16528277_16529069","ARHGEF19",0,0.0123917999147618
"chr1_165712404_165723511_-","chr1_165712404_165723511","TMCO1",0.0117184587779893,0
"chr1_165859441_165860559_+","chr1_165859441_165860559","UCK2",0,0.0247835998295235
"chr1_165859441_165865569_+","chr1_165859441_165865569","UCK2",0.0117184587779893,0
"chr1_166831440_166833158_-","chr1_166831440_166833158","TADA1",0.0117184587779893,0
"chr1_167301707_167307495_+","chr1_167301707_167307495","POU2F1",0.0117184587779893,0
"chr1_167301707_167343533_+","chr1_167301707_167343533","POU2F1",0.0117184587779893,0
"chr1_167381196_167382351_+","chr1_167381196_167382351","POU2F1",0.0117184587779893,0
"chr1_167734820_167742605_+","chr1_167734820_167742605","MPZL1",0.0937476702239142,0
"chr1_167734820_167745403_+","chr1_167734820_167745403","MPZL1",0.0351553763339678,0.0619589995738088
"chr1_167741512_167742605_+","chr1_167741512_167742605","MPZL1",0,0.0123917999147618
"chr1_167741512_167745403_+","chr1_167741512_167745403","MPZL1",0,0.0123917999147618
"chr1_167921038_167944253_+","chr1_167921038_167944253","DCAF6",0.0468738351119571,0
"chr1_167935867_167944253_+","chr1_167935867_167944253","DCAF6",0.0117184587779893,0.0123917999147618
"chr1_168032859_168037701_+","chr1_168032859_168037701","DCAF6",0.0117184587779893,0
"chr1_16817113_16817421_-","chr1_16817113_16817421","CROCCP3",0,0.0123917999147618
"chr1_169199956_169256646_-","chr1_169199956_169256646","NME7",0.0937476702239142,0
"chr1_169256541_169279318_-","chr1_169256541_169279318","NME7",0.0117184587779893,0
"chr1_169267794_169293738_-","chr1_169267794_169293738","NME7",0.0117184587779893,0
"chr1_169292355_169293738_-","chr1_169292355_169293738","NME7",0.0234369175559785,0
"chr1_169767998_169770112_+","chr1_169767998_169770112","C1orf112",0.0234369175559785,0
"chr1_169771762_169775229_+","chr1_169771762_169775229","C1orf112",0.0117184587779893,0
"chr1_169923152_169961396_-","chr1_169923152_169961396","KIFAP3",0.0234369175559785,0
"chr1_169985603_169993737_-","chr1_169985603_169993737","KIFAP3",0.0117184587779893,0
"chr1_170688867_170695542_+","chr1_170688867_170695542","PRRX1",0.0117184587779893,0
"chr1_171483675_171491398_+","chr1_171483675_171491398","PRRC2C",0,0.0123917999147618
"chr1_171537386_171544267_+","chr1_171537386_171544267","PRRC2C",0.0703107526679357,0
"chr1_171537386_171556890_+","chr1_171537386_171556890","PRRC2C",0.0117184587779893,0
"chr1_172011149_172017890_+","chr1_172011149_172017890","DNM3",0.0117184587779893,0
"chr1_172011149_172038045_+","chr1_172011149_172038045","DNM3",0.0117184587779893,0
"chr1_172013525_172038045_+","chr1_172013525_172038045","DNM3",0.0117184587779893,0
