"","Id","Gene","SRR5817025_2242-1_Hepa_Day_96","SRR5817026_2242-1_Hepa_Day_102","SRR5817027_2242-1_Hepa_Day_120","SRR5817028_2242-1_Hepa_Day_137","SRR5817029_2242-1_Hepa_Day_172","SRR5817030_2242-1_Hepa_Day_193","SRR5817031_2242-1_Hepa_Day_224","SRR5817032_2242-1_Hepa_Day_295","SRR5817033_2242-1_Hepa_Day_377","SRR5817034_2242-1_Hepa_Day_450","SRR5817035_2242-1_Hepa_Day_495","SRR5817036_8858-1_Hepa_Day_180","SRR5817037_8858-3_Hepa_Day_100","SRR5817038_8858-3_Hepa_Day_130","SRR5817039_8858-1_Thy1_Day_82","SRR5817040_8858-1_Thy1_Day_93","SRR5817041_8858-1_Thy1_Day_100","SRR5817042_8858-1_Thy1_Day_450","SRR5817043_2242-1_Thy1_Day_100","SRR5817044_2242-1_Thy1_Day_160","SRR5817045_2242-1_Thy1_Day_160b","SRR5817046_2242-1_Thy1_Day_250"
"chr1_107866904_107867544_-","chr1_107866904_107867544","not_annotated",0,0,0.124176836187798,0,0,0,0,0,0,0,0,0.0857482653018744,0.148753055201813,0,0,0,0,0,0,0,0,0
"chr1_108690901_108703915_+","chr1_108690901_108703915","not_annotated",0,0,0.0177395480268283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188809826871773,0,0.0307152918814293,0
"chr1_109241896_109242192_-","chr1_109241896_109242192","not_annotated",0,0.0230427499697103,0,0.0823367657152342,0,0.0262985002859436,0,0,0,0,0,0,0,0,0.107998842468406,0.112044507215512,0,0,0,0,0.0921458756442878,0
"chr1_109242089_109242310_-","chr1_109242089_109242310","not_annotated",0.0425852391469921,0,0,0,0.044445747198679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102647220492902
"chr1_109242101_109242322_-","chr1_109242101_109242322","not_annotated",0,0,0,0.0823367657152342,0.0222228735993395,0,0,0,0,0,0,0,0,0,0,0.028011126803878,0,0,0,0,0.0307152918814293,0
"chr1_109242193_109242277_-","chr1_109242193_109242277","not_annotated",0.0425852391469921,0.0230427499697103,0.0354790960536566,0.0548911771434895,0.044445747198679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"chr1_109427897_109446876_+","chr1_109427897_109446876","GPSM2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0301490390611855,0.14160737015383,0,0,0
"chr1_109533876_109554340_-","chr1_109533876_109554340","WDR47",0,0,0.0177395480268283,0,0,0,0,0,0.0880997112531964,0,0.0836833459011772,0,0,0,0,0,0,0.0904471171835564,0,0,0.245722335051434,0
"chr1_109538202_109554340_+","chr1_109538202_109554340","not_annotated",0,0,0.0709581921073132,0,0,0.0262985002859436,0,0.0225327825510098,0,0,0,0,0,0,0,0,0,0.0301490390611855,0.188809826871773,0,0,0
"chr1_109544846_109554340_+","chr1_109544846_109554340","not_annotated",0.0212926195734961,0.0230427499697103,0.0177395480268283,0,0.044445747198679,0,0,0,0,0,0,0.0857482653018744,0,0,0,0,0,0.0301490390611855,0.28321474030766,0.167643834638133,0,0
"chr1_109547214_109554340_-","chr1_109547214_109554340","WDR47",0,0,0,0,0,0.0262985002859436,0,0.0225327825510098,0,0,0,0,0.148753055201813,0,0,0.0560222536077561,0,0.0602980781223709,0.188809826871773,0,0.184291751288576,0
"chr1_109553538_109554340_-","chr1_109553538_109554340","WDR47",0,0,0.0177395480268283,0,0,0,0,0,0.0880997112531964,0,0,0,0.148753055201813,0,0,0,0,0,0,0,0.0307152918814293,0
"chr1_109553538_109566143_-","chr1_109553538_109566143","WDR47",0,0,0,0,0,0,0,0,0,0,0,0,0.297506110403625,0,0,0,0,0,0.0472024567179433,0,0,0
"chr1_110121826_110125187_+","chr1_110121826_110125187","GNAI3",0.0425852391469921,0,0,0,0,0.0262985002859436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"chr1_11130957_11137005_-","chr1_11130957_11137005","EXOSC10",0,0,0.0177395480268283,0,0,0,0,0,0,0,0,0.0857482653018744,0,0,0,0,0,0,0.14160737015383,0,0,0
"chr1_111492473_111495437_+","chr1_111492473_111495437","RP11-96K19.2",0,0,0.0709581921073132,0,0,0,0,0.0450655651020195,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"chr1_111690264_111690675_+","chr1_111690264_111690675","CEPT1",0,0,0.0177395480268283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153576459407146,0
"chr1_111690264_111703918_-","chr1_111690264_111703918","not_annotated",0.0212926195734961,0,0.0886977401341415,0,0,0.0525970005718872,0.0599352525460271,0,0,0,0,0.0428741326509372,0,0,0,0,0,0.0301490390611855,0,0,0.0307152918814293,0
"chr1_11184555_11193254_-","chr1_11184555_11193254","MTOR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.236012283589717,0,0.0307152918814293,0
"chr1_111998708_112002258_+","chr1_111998708_112002258","ATP5F1",0,0,0.0177395480268283,0,0.044445747198679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0307152918814293,0
"chr1_113098490_113159517_+","chr1_113098490_113159517","not_annotated",0.0425852391469921,0.0230427499697103,0.0886977401341415,0,0,0,0,0.0225327825510098,0,0,0.0278944486337257,0,0,0,0,0,0,0,0.0472024567179433,0,0,0
"chr1_113119608_113140708_+","chr1_113119608_113140708","not_annotated",0,0,0,0.0548911771434895,0,0,0,0.0225327825510098,0.0880997112531964,0,0,0,0,0,0,0,0,0,0,0,0.0307152918814293,0
"chr1_113119608_113143470_+","chr1_113119608_113143470","not_annotated",0,0,0.0177395480268283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122861167525717,0
"chr1_113134147_113159517_-","chr1_113134147_113159517","ST7L",0,0,0,0,0,0,0.0299676262730135,0,0,0,0,0.0428741326509372,0,0,0,0,0,0,0,0,0.0614305837628585,0
"chr1_115005726_115007010_-","chr1_115005726_115007010","TRIM33",0,0,0,0,0.0222228735993395,0,0.0599352525460271,0.0225327825510098,0,0,0,0.128622397952812,0,0,0,0,0,0.0301490390611855,0.14160737015383,0,0.337868210695722,0.102647220492902
"chr1_115262200_115280693_-","chr1_115262200_115280693","CSDE1",0,0,0.0177395480268283,0,0.044445747198679,0,0,0.0225327825510098,0,0,0.0278944486337257,0,0,0,0,0,0,0,0.0944049134358866,0,0,0
"chr1_115267842_115280693_-","chr1_115267842_115280693","CSDE1",0,0.0460854999394206,0.124176836187798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0472024567179433,0,0.0307152918814293,0
"chr1_117944808_117957453_-","chr1_117944808_117957453","not_annotated",0.0851704782939842,0.76041074900044,0.425749152643879,0.0548911771434895,0.044445747198679,0.0788955008578308,0.0599352525460271,0,0.0293665704177321,0,0,0.514489591811247,0.148753055201813,0,0.16199826370261,0.392155775254293,0,0,0.14160737015383,0.335287669276266,0,0.410588881971607
"chr1_117944808_117963271_+","chr1_117944808_117963271","MAN1A2",1.36272765270375,2.51165974669842,3.29955593299006,0.329347062860937,1.26670379516235,0.420776004575098,0.689255404279311,0.405590085918176,0.675431119607839,0,0.0836833459011772,5.5307631119709,7.28889970488881,0,1.24198668838667,2.10083451029085,0,0.180894234367113,3.11536214338426,4.35873970059146,3.37868210695722,0.61588332295741
"chr1_117944808_117984947_-","chr1_117944808_117984947","not_annotated",0.255511434881953,0.921709998788412,1.31272655398529,0.274455885717447,0.222228735993395,0.420776004575098,0.988931667009446,0.292926173163127,0.0880997112531964,0.0944413074190163,0.167366691802354,1.02897918362249,6.09887526327431,0,0.701992476044642,0.812322677312463,0.329079866367248,0.271341351550669,3.72899408071752,2.17936985029573,1.59719517783432,0.102647220492902
"chr1_117944808_118009049_-","chr1_117944808_118009049","not_annotated",0,0.115213749848552,0.248353672375596,0,0,0.157791001715662,0.0299676262730135,0,0.0293665704177321,0,0,0,0,0,0.107998842468406,0,0,0,0.188809826871773,0,0.0307152918814293,0.205294440985803
"chr1_118439455_118463047_-","chr1_118439455_118463047","GDAP2",0,0,0.0709581921073132,0,0,0,0,0,0,0,0,0.0428741326509372,0,0,0,0,0,0,0,0,0,0
"chr1_118449128_118461358_-","chr1_118449128_118461358","GDAP2",0,0.0230427499697103,0.10643728816097,0,0,0,0,0,0,0.0944413074190163,0.0278944486337257,0,0,0,0,0,0,0,0.0944049134358866,0,0,0
"chr1_118454616_118461358_+","chr1_118454616_118461358","not_annotated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0301490390611855,0.28321474030766,0,0,0
"chr1_12335882_12338095_-","chr1_12335882_12338095","not_annotated",0,0,0.0177395480268283,0,0,0.0262985002859436,0,0,0,0.0944413074190163,0,0,0,0,0,0,0,0.0602980781223709,0,0,0,0
"chr1_14099573_14109326_+","chr1_14099573_14109326","PRDM2",0.0212926195734961,0,0.301572316456081,0.0274455885717447,0,0,0,0.0225327825510098,0,0,0.0278944486337257,0.0428741326509372,0.297506110403625,0,0,0.028011126803878,0,0.150745195305927,0,0,0.0307152918814293,0.205294440985803
"chr1_14104913_14109326_-","chr1_14104913_14109326","RP5-1177E19.2",0,0,0.0177395480268283,0,0,0.0525970005718872,0,0,0,0,0,0,0,0,0,0,0,0.0301490390611855,0,0,0,0.307941661478705
"chr1_144916749_144917497_-","chr1_144916749_144917497","not_annotated",0,0,0,0,0,0,0.149838131365068,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0614305837628585,0
"chr1_144994591_145021167_-","chr1_144994591_145021167","PDE4DIP",0,0,0,0,0,0,0,0,0,0,0.0278944486337257,0.0428741326509372,0,0,0,0,0,0,0.0944049134358866,0,0,0
"chr1_147120048_147131890_+","chr1_147120048_147131890","not_annotated",0,0,0,0.0274455885717447,0,0,0,0,0,0,0.0278944486337257,0,0,0,0,0,0,0,0.0944049134358866,0,0,0
"chr1_149239868_149255307_+","chr1_149239868_149255307","RP11-403I13.4",0,0,0,0,0,0,0.119870505092054,0.0225327825510098,0,0,0,0,0,0,0,0,0,0.0301490390611855,0.0472024567179433,0,0,0
"chr1_150198940_150201570_+","chr1_150198940_150201570","not_annotated",0,0,0,0,0,0.0525970005718872,0,0,0,0,0,0,0.446259165605438,0,0,0,0,0,0,0,0.0307152918814293,0
"chr1_150258842_150259405_+","chr1_150258842_150259405","C1orf51",0.0851704782939842,0.0230427499697103,0.124176836187798,0,0,0.184089502001605,0.119870505092054,0.112663912755049,0.117466281670928,0.0944413074190163,0,0.30011892855656,0.297506110403625,0,0,0.028011126803878,0,0.0904471171835564,0.0944049134358866,0.335287669276266,0.184291751288576,0.102647220492902
"chr1_150413399_150416853_+","chr1_150413399_150416853","RPRD2",0,0.0230427499697103,0,0,0,0,0,0.0450655651020195,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"chr1_150413399_150418877_+","chr1_150413399_150418877","RPRD2",0.0212926195734961,0.0230427499697103,0,0,0,0,0,0,0,0,0,0,0.148753055201813,0,0,0,0,0,0,0,0.0614305837628585,0
"chr1_150416727_150432793_-","chr1_150416727_150432793","not_annotated",0.0425852391469921,0,0,0,0,0,0,0,0,0,0.0557888972674514,0,0,0,0,0,0,0.0602980781223709,0,0,0.0307152918814293,0
"chr1_150997087_151001420_-","chr1_150997087_151001420","not_annotated",0,0,0,0,0,0,0,0,0,0,0,0.171496530603749,0,0,0,0.0560222536077561,0,0,0,0,0,0
"chr1_151060666_151090615_+","chr1_151060666_151090615","GABPB2",0.0212926195734961,0.0230427499697103,0.0354790960536566,0,0,0.0262985002859436,0.149838131365068,0,0,0,0.0836833459011772,0,0.148753055201813,0,0,0.0560222536077561,0,0,0.0944049134358866,0,0.0307152918814293,0
"chr1_151065668_151090615_-","chr1_151065668_151090615","RP11-68I18.2",0,0,0.0177395480268283,0,0,0,0,0,0,0,0.0278944486337257,0,0,0,0,0.0560222536077561,0,0,0,0,0.0307152918814293,0
"chr1_151196721_151209239_-","chr1_151196721_151209239","not_annotated",0,0,0.21287457632194,0,0,0.105194001143774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"chr1_151196724_151209239_-","chr1_151196724_151209239","not_annotated",0,0.0230427499697103,0,0,0,0.0525970005718872,0,0,0,0,0,0,0,0,0,0,0.987239599101744,0,0,0,0.0307152918814293,0
"chr1_151204147_151205179_-","chr1_151204147_151205179","not_annotated",0,0,0,0,0,0.0262985002859436,0.0599352525460271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"chr1_151395873_151403317_-","chr1_151395873_151403317","POGZ",0.10646309786748,0.0460854999394206,0.372530508563394,0.0823367657152342,0,0,0,0,0,0,0.167366691802354,0,0,0,0,0,0,0.0904471171835564,0.0944049134358866,0,0.337868210695722,0
"chr1_151395873_151414681_+","chr1_151395873_151414681","RNY4P25",0.0425852391469921,0,0.0709581921073132,0,0,0,0,0,0,0,0,0,0.297506110403625,0,0,0,0,0,0,0,0,0
"chr1_151400299_151403317_-","chr1_151400299_151403317","POGZ",0.149048337014472,0.0691282499091309,0.0886977401341415,0,0,0.0788955008578308,0,0.0675983476530293,0.0293665704177321,0.0944413074190163,0.0278944486337257,0,0.297506110403625,0,0.107998842468406,0.0560222536077561,0.329079866367248,0.0301490390611855,0,0,0,0
"chr1_151400299_151414681_-","chr1_151400299_151414681","POGZ",0,0.0230427499697103,0.0709581921073132,0,0,0,0,0,0,0,0.0278944486337257,0,0.148753055201813,0,0,0,0,0.120596156244742,0,0,0,0
"chr1_151638409_151655921_+","chr1_151638409_151655921","SNX27",0,0,0,0,0.0666686207980185,0,0,0,0,0,0.0278944486337257,0,0,0,0,0,0,0,0,0,0,0
"chr1_151640948_151655921_+","chr1_151640948_151655921","SNX27",0,0,0,0,0,0.105194001143774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0307152918814293,0
"chr1_153734046_153737539_+","chr1_153734046_153737539","INTS3",0,0,0.0532186440804849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0944049134358866,0,0,0
"chr1_153788749_153790647_+","chr1_153788749_153790647","not_annotated",0.0425852391469921,0,0.0354790960536566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"chr1_154197560_154218851_-","chr1_154197560_154218851","not_annotated",0,0,0.0709581921073132,0,0,0,0,0,0,0,0,0,0,0,0,0.028011126803878,0,0,0,0,0,0
"chr1_154223517_154224129_+","chr1_154223517_154224129","UBAP2L",0,0,0,0,0,0.0525970005718872,0,0,0.0293665704177321,0,0,0,0,0,0,0,0,0.0602980781223709,0,0,0,0
"chr1_155324264_155327540_+","chr1_155324264_155327540","not_annotated",0,0,0,0,0,0,0,0,0,0,0,0,0.297506110403625,0,0,0,0,0,0,0,0.0921458756442878,0
"chr1_155385535_155429689_-","chr1_155385535_155429689","ASH1L",0.0425852391469921,0,0,0,0,0.0525970005718872,0,0,0.0293665704177321,0,0,0,0,0,0,0.028011126803878,0,0,0,0,0.0614305837628585,0
"chr1_155408118_155408859_-","chr1_155408118_155408859","ASH1L",0.149048337014472,0.115213749848552,0.975675141475556,0.301901474289192,0.044445747198679,0.447074504861041,0.329643889003149,0.180262260408078,0.205565992924125,0.188882614838033,0.223155589069806,0.214370663254686,1.1900244416145,0,0.16199826370261,0,0,0.211043273428298,0.472024567179433,0.5029315039144,0.245722335051434,0
"chr1_155408118_155429689_-","chr1_155408118_155429689","ASH1L",0.127755717440976,0.207384749727393,0.10643728816097,0.0274455885717447,0,0.105194001143774,0.239741010184108,0.135196695306059,0.176199422506393,0.0944413074190163,0.0836833459011772,0.385867193858435,0.297506110403625,0,0,0.028011126803878,0,0.0602980781223709,0.28321474030766,0.167643834638133,0.0921458756442878,0.102647220492902
"chr1_155447677_155452240_-","chr1_155447677_155452240","ASH1L",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0301490390611855,0,0,0.0614305837628585,0
"chr1_155447677_155491409_-","chr1_155447677_155491409","ASH1L",0,0.0230427499697103,0,0,0.0222228735993395,0.105194001143774,0,0,0,0,0,0.171496530603749,0,0,0.215997684936813,0.028011126803878,0,0,0,0.167643834638133,0.0307152918814293,0.205294440985803
"chr1_155640111_155649303_-","chr1_155640111_155649303","YY1AP1",0,0,0.0177395480268283,0,0.044445747198679,0.0788955008578308,0,0,0,0,0,0.128622397952812,0.148753055201813,0,0,0,0,0.0602980781223709,0,0,0.0307152918814293,0
"chr1_155644801_155649303_-","chr1_155644801_155649303","YY1AP1",0,0.0460854999394206,0.0177395480268283,0,0,0,0,0.0225327825510098,0,0,0,0,0.148753055201813,0,0,0,0,0.0301490390611855,0.188809826871773,0,0.0921458756442878,0.102647220492902
"chr1_155644801_155650247_-","chr1_155644801_155650247","YY1AP1",0,0,0.10643728816097,0,0,0,0,0,0,0,0,0,0,0,0,0.028011126803878,0,0,0,0,0.0614305837628585,0
"chr1_155679564_155699157_-","chr1_155679564_155699157","RP11-243J18.2",0,0,0,0,0,0,0,0,0,0,0.0278944486337257,0,0,0,0,0,0,0,0,0,0,0.205294440985803
"chr1_155695173_155695810_-","chr1_155695173_155695810","not_annotated",0,0,0.0177395480268283,0,0,0,0,0,0.117466281670928,0,0,0,0,0,0,0,0,0.0301490390611855,0.14160737015383,0.167643834638133,0,0
"chr1_155734791_155736500_-","chr1_155734791_155736500","GON4L",0,0.0230427499697103,0.0177395480268283,0.0548911771434895,0.044445747198679,0.157791001715662,0,0.0225327825510098,0,0,0,0.0428741326509372,0,0,0,0,0,0.0602980781223709,0,0,0,0
"chr1_155790397_155796819_-","chr1_155790397_155796819","GON4L",0.0212926195734961,0,0.0177395480268283,0,0,0,0,0,0,0,0,0.685986122414995,0,0,0,0,0,0,0,0,0,0
"chr1_155823067_155823597_-","chr1_155823067_155823597","GON4L",0.0212926195734961,0.0460854999394206,0.159655932241455,0,0,0.0525970005718872,0.209773383911095,0,0.0293665704177321,0,0.0836833459011772,0.214370663254686,0.297506110403625,2.04763155008894,0.0539994212342032,0.112044507215512,0,0.120596156244742,0.0944049134358866,0,0.0921458756442878,0
"chr1_155891166_155891709_+","chr1_155891166_155891709","not_annotated",0.0212926195734961,0.0230427499697103,0.283832768429253,0,0,0.0262985002859436,0.0299676262730135,0,0.0587331408354642,0,0,0.0428741326509372,0,0,0,0,0,0,0.188809826871773,0,0.0921458756442878,0
"chr1_155891166_155893478_+","chr1_155891166_155893478","not_annotated",0,0,0.0177395480268283,0,0,0.0525970005718872,0,0.0225327825510098,0.0293665704177321,0,0.0278944486337257,0,0,0,0,0,0,0.0301490390611855,0,0,0.0307152918814293,0
"chr1_155891166_155895634_+","chr1_155891166_155895634","not_annotated",0,0,0.0532186440804849,0,0,0.236686502573492,0,0.0225327825510098,0,0,0.0278944486337257,0,0.148753055201813,0,0,0,0,0,0.0472024567179433,0,0.0307152918814293,0
"chr1_156641777_156642166_-","chr1_156641777_156642166","NES",0,0,0,0.0274455885717447,0,0,0,0,0,0.0944413074190163,0,0,0,0,0,0.0560222536077561,0,0,0,0,0,0
"chr1_160184546_160185166_-","chr1_160184546_160185166","not_annotated",0.0212926195734961,0.0460854999394206,0.0177395480268283,0.0548911771434895,0,0,0.0299676262730135,0,0,0,0.0278944486337257,0,0,0,0,0,0,0,0,0,0,0
"chr1_160184766_160185049_+","chr1_160184766_160185049","PEA15",0,0,0,0.384238240004426,0,0.0788955008578308,0,0,0,0,0.0278944486337257,0,0,0,0,0,0,0,0,0.167643834638133,0,0
"chr1_160184782_160185063_-","chr1_160184782_160185063","not_annotated",0,0,0,0.0823367657152342,0.0222228735993395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"chr1_160184784_160185063_-","chr1_160184784_160185063","not_annotated",0.149048337014472,0.0460854999394206,0.283832768429253,1.8388544343069,1.64449264635112,0.157791001715662,0,0.428122868469186,0.0293665704177321,0.0944413074190163,0.139472243168629,0,0,0.682543850029645,0.215997684936813,0.280111268038781,0,0,0,0.5029315039144,0.0307152918814293,0
"chr1_160184784_160185121_-","chr1_160184784_160185121","not_annotated",0,0.115213749848552,0,0,0,0,0,0,0.0293665704177321,0,0.0278944486337257,0,0,0,0,0,0,0,0,0,0,0
"chr1_160184813_160185143_-","chr1_160184813_160185143","not_annotated",0,0,0,0,0,0.0788955008578308,0,0,0,0,0,0,0,0,0,0,0,0,0,0.335287669276266,0,0
"chr1_160184816_160185049_+","chr1_160184816_160185049","PEA15",0,0,0.266093220402424,0.0823367657152342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"chr1_161748034_161753886_+","chr1_161748034_161753886","ATF6",0,0,0,0,0.0666686207980185,0.0525970005718872,0,0.0225327825510098,0,0,0.0557888972674514,0,0,0,0,0,0,0.0301490390611855,0,0,0.0307152918814293,0
"chr1_161748034_161762117_+","chr1_161748034_161762117","ATF6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0614305837628585,0.410588881971607
"chr1_161748034_161772062_+","chr1_161748034_161772062","ATF6",0,0,0.0354790960536566,0,0,0.0788955008578308,0,0,0,0,0.0278944486337257,0,0,0,0,0.0560222536077561,0,0.0904471171835564,0,0,0.0921458756442878,0
"chr1_161761198_161772062_+","chr1_161761198_161772062","ATF6",0,0,0,0,0,0.0788955008578308,0,0,0.0293665704177321,0,0,0,0,0,0,0,0,0,0,0,0.0307152918814293,0
"chr1_161761198_161790951_+","chr1_161761198_161790951","ATF6",0.0212926195734961,0.0230427499697103,0.0177395480268283,0,0,0,0,0.0225327825510098,0,0,0,0,0,0,0,0,0,0,0,0,0.0614305837628585,0
"chr1_161771842_161790951_+","chr1_161771842_161790951","ATF6",0,0,0,0,0,0,0,0.0225327825510098,0,0,0,0,0,0,0,0,0,0,0.0944049134358866,0,0.0614305837628585,0
"chr1_161816239_161833102_+","chr1_161816239_161833102","ATF6",0,0,0.0354790960536566,0,0,0.0788955008578308,0.0599352525460271,0,0.0587331408354642,0,0.0557888972674514,0.214370663254686,0,0,0,0,0,0,0,0,0,0
"chr1_164776779_164790863_-","chr1_164776779_164790863","not_annotated",0.0851704782939842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0307152918814293,0
"chr1_164777747_164778140_-","chr1_164777747_164778140","not_annotated",0.0212926195734961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0614305837628585,0
"chr1_167345266_167358998_+","chr1_167345266_167358998","POU2F1",0,0,0.0532186440804849,0,0.0666686207980185,0,0,0,0.0587331408354642,0,0,0.171496530603749,0,0,0,0,0,0,0,0,0,0
"chr1_167734820_167742605_+","chr1_167734820_167742605","MPZL1",0.0212926195734961,0.0691282499091309,0.0177395480268283,0,0.0666686207980185,0,0.0899028788190406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"chr1_168007609_168037701_+","chr1_168007609_168037701","DCAF6",0.0638778587204882,0.0460854999394206,0.0177395480268283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"chr1_168032859_168037701_+","chr1_168032859_168037701","DCAF6",0,0,0,0,0,0.0525970005718872,0,0,0,0,0,0,0,0,0,0,0,0,0.0472024567179433,0,0,0
"chr1_168073715_168074132_-","chr1_168073715_168074132","GPR161",0.0212926195734961,0.0460854999394206,0.0886977401341415,0,0,0,0,0,0.0293665704177321,0,0,0,0,0,0,0,0,0,0,0,0,0
"chr1_169767998_169796340_+","chr1_169767998_169796340","C1orf112",0.0638778587204882,0,0,0,0,0,0.0299676262730135,0,0,0,0,0,0,0,0,0,0,0.0301490390611855,0.14160737015383,0,0,0
"chr1_171481171_171491398_+","chr1_171481171_171491398","PRRC2C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0944049134358866,0,0.0307152918814293,0
"chr1_171481171_171519379_+","chr1_171481171_171519379","PRRC2C",0,0,0,0,0,0,0,0,0,0,0.0278944486337257,0,0,0,0,0.0560222536077561,0,0,0,0,0,0
"chr1_171492360_171502100_-","chr1_171492360_171502100","not_annotated",0.0425852391469921,0,0.0177395480268283,0,0,0.0525970005718872,0,0.0225327825510098,0,0,0,0.0857482653018744,0.148753055201813,0,0,0,0,0,0,0,0.0307152918814293,0.102647220492902
"chr1_171492360_171506612_+","chr1_171492360_171506612","PRRC2C",0,0,0.0354790960536566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0472024567179433,0,0,0
