Id,FBN,H9_ESC
chr1_113635828_113641407,0.035155376,0
chr1_113635828_113662145,0.011718459,0
chr1_113655101_113662145,0,0.0123918
chr1_114267381_114269196,0.035155376,0.0123918
chr1_114319832_114320430,0,0.0123918
chr1_114397093_114397671,0.011718459,0
chr1_114483004_114484081,0.023436918,0
chr1_114497273_114511270,0,0.0123918
chr1_114680117_114682502,0,0.0123918
chr1_114948032_114952938,0.011718459,0
chr1_114964058_114970516,0.023436918,0
chr1_115005726_115007010,0.175776882,0.0495672
chr1_115262200_115263338,0.035155376,0
chr1_115262200_115280693,0.011718459,0
chr1_115267842_115280693,0,0.0123918
chr1_115276353_115280693,0,0.0123918
chr1_116202262_116206889,0,0.0247836
chr1_117944808_117948267,0.117184588,0.074350799
chr1_117944808_117957453,0.808573656,0.086742599
chr1_117944808_117963271,1.816361111,0.111526199
chr1_117944808_117984947,0.550767563,0
chr1_117944808_118009049,0.082029211,0
chr1_117948171_117963271,0.011718459,0
chr1_117984853_118009049,0.011718459,0
chr1_117984853_118045592,0.011718459,0
chr1_118003111_118045592,0.058592294,0.0247836
chr1_118420631_118455305,0.011718459,0
chr1_118430320_118461358,0,0.0123918
chr1_118449128_118461358,0,0.0123918
chr1_118454616_118461358,0.023436918,0
chr1_118461219_118463047,0.046873835,0
chr1_11893934_11897213,0.011718459,0
chr1_1192372_1192690,0.058592294,0
chr1_12049222_12052747,0.023436918,0
chr1_120508076_120508189,0.011718459,0
chr1_120529583_120548211,0.023436918,0
chr1_12065768_12069783,0,0.0123918
chr1_121115832_121116815,0.011718459,0
chr1_12333060_12338095,0.011718459,0
chr1_12335882_12338095,0.035155376,0
chr1_12359259_12359441,0.011718459,0
chr1_12359259_12368698,0.023436918,0.0123918
chr1_12359259_12382021,0.011718459,0
chr1_12359259_12406709,0.011718459,0
chr1_12382593_12423303,0.011718459,0
chr1_12460238_12476880,0.011718459,0
chr1_12638746_12639440,0,0.0247836
chr1_13933668_13937011,0,0.0247836
chr1_14042036_14075982,0.011718459,0
chr1_14057495_14068652,0,0.0123918
chr1_14095613_14099683,0.011718459,0
chr1_14099573_14109326,0.070310753,0
chr1_144598512_144598780,0.011718459,0
chr1_144598512_144615303,0.011718459,0
chr1_144921835_144922638,0.011718459,0
chr1_144946625_144952689,0.011718459,0
chr1_145227041_145248894,0.011718459,0
chr1_145594039_145595220,0.023436918,0.0123918
chr1_145646115_145663367,0.011718459,0
chr1_145787772_145791170,0,0.0123918
chr1_145803308_145818826,0.011718459,0
chr1_145897085_145900490,0.011718459,0
chr1_145916725_145919047,0.011718459,0
chr1_146724278_146731572,0.105466129,0.0123918
chr1_146731491_146736243,0.011718459,0
chr1_146736081_146751864,0.011718459,0
chr1_146747017_146757164,0.105466129,0.0371754
chr1_146757975_146759412,0.011718459,0
chr1_147120048_147131890,0.035155376,0
chr1_147121946_147131890,0.011718459,0
chr1_147408741_147442191,0,0.0123918
chr1_147438786_147442191,0.011718459,0
chr1_147458431_147460753,0.011718459,0
chr1_149921997_149931715,0.011718459,0
chr1_149936147_149937803,0.011718459,0
chr1_150198940_150201570,0.023436918,0
chr1_150202906_150204264,0.070310753,0.0123918
chr1_150297353_150305670,0.011718459,0
chr1_150390072_150418877,0.011718459,0
chr1_150413399_150418877,0.011718459,0
chr1_150464887_150469384,0.023436918,0
chr1_150634290_150636239,0.023436918,0
chr1_150789558_150795821,0.011718459,0
chr1_150795670_150799093,0.023436918,0
chr1_150902443_150915529,0,0.0123918
chr1_150997087_150998149,0.035155376,0
chr1_150997087_151001420,0.011718459,0
chr1_150999709_151001420,0.023436918,0
chr1_151026707_151028469,0,0.0123918
chr1_151110187_151112566,0,0.0123918
chr1_151139410_151139890,0.058592294,0
chr1_151196724_151205179,0.011718459,0
chr1_151196724_151209239,0.011718459,0
chr1_151212431_151215043,0.011718459,0
chr1_151234637_151236504,0.011718459,0
chr1_151288049_151288985,0.011718459,0
chr1_151340675_151342245,0,0.0123918
chr1_151380576_151381304,0.023436918,0
chr1_151380576_151384872,0.011718459,0
chr1_151395873_151403317,0.035155376,0
chr1_151395873_151414681,0.046873835,0.0123918
chr1_151400299_151403317,0.046873835,0
chr1_151400299_151414681,0.058592294,0
chr1_151611364_151611595,0.046873835,0.0247836
chr1_151611364_151641111,0.023436918,0
chr1_151630711_151630903,0.023436918,0
chr1_151630711_151641111,0.046873835,0
chr1_151640948_151655921,0.011718459,0
chr1_153636519_153641052,0.011718459,0
chr1_153637696_153641033,0.035155376,0
chr1_153721165_153730239,0.011718459,0
chr1_153723571_153730239,0.035155376,0.0123918
chr1_153734046_153737539,0.011718459,0
chr1_153784207_153785928,0.046873835,0
chr1_153788749_153792211,0.011718459,0
chr1_153907236_153910339,0,0.0123918
chr1_153925047_153926082,0,0.0123918
chr1_154184796_154186422,0.011718459,0
chr1_154199758_154201201,0,0.0123918
chr1_154213989_154218851,0.011718459,0.0123918
chr1_154223517_154224129,0.011718459,0
chr1_154231453_154232505,0.011718459,0
chr1_154232424_154239044,0,0.0123918
chr1_154306583_154307067,0.011718459,0
chr1_154316369_154316976,0.011718459,0
chr1_155180137_155180418,0.011718459,0
chr1_155307880_155330200,0.011718459,0
chr1_155319118_155319387,0.011718459,0
chr1_155322497_155324421,0.011718459,0
chr1_155340295_155340774,0.035155376,0
chr1_155365250_155429689,0.035155376,0
chr1_155385535_155429689,0.046873835,0
chr1_155408118_155408859,0.222650717,0.061959
chr1_155408118_155429689,0.257806093,0.061959
chr1_155408118_155491409,0.011718459,0
chr1_155640111_155644887,0.011718459,0
chr1_155640111_155649303,0.011718459,0
chr1_155644801_155649303,0.164058423,0.0123918
chr1_155646339_155649303,0.140621505,0.0247836
chr1_155646339_155650247,0.011718459,0
chr1_155679564_155686919,0.011718459,0
chr1_155679564_155699157,0,0.0123918
chr1_155679564_155701206,0.011718459,0
chr1_155686797_155691409,0.023436918,0
chr1_155686797_155695810,0.023436918,0
chr1_155695173_155695810,0.058592294,0.0495672
chr1_155695173_155697529,0.011718459,0
chr1_155724166_155730432,0.023436918,0
chr1_155737216_155743001,0.023436918,0
chr1_155742857_155747611,0.023436918,0
chr1_155747413_155753880,0.023436918,0.0123918
chr1_155764841_155784240,0.011718459,0
chr1_155790397_155796819,0,0.0123918
chr1_155823067_155823597,0.152339964,0.0247836
chr1_155874102_155874595,0.011718459,0
chr1_155891166_155891709,0,0.0123918
chr1_155891166_155895634,0.011718459,0
chr1_155896467_155896947,0.011718459,0
chr1_155899087_155899631,0.023436918,0
chr1_156202111_156203519,0.011718459,0
chr1_156230242_156233361,0.011718459,0
chr1_156294763_156304709,0.023436918,0
chr1_156303338_156304709,0.117184588,0.111526199
chr1_156761489_156767133,0.011718459,0
chr1_156921365_156926356,0.011718459,0
chr1_15855583_15871078,0.011718459,0
chr1_15860732_15863309,0.023436918,0
chr1_15890424_15890854,0,0.0123918
chr1_1599766_1603068,0.011718459,0
chr1_1599766_1608285,0,0.0123918
chr1_160188114_160231148,0,0.0123918
chr1_160201087_160210160,0,0.0123918
chr1_160201087_160213824,0,0.0123918
chr1_160206925_160213824,0.011718459,0
chr1_160281658_160282957,0.011718459,0
chr1_160293221_160302347,0.105466129,0
chr1_16093871_16101291,0,0.0123918
chr1_161088576_161090022,0,0.0123918
chr1_161748034_161772062,0.023436918,0
chr1_161771842_161790951,0.023436918,0
chr1_161816239_161833102,0.070310753,0.0123918
chr1_16199311_16203173,0.046873835,0.0247836
chr1_162257134_162302915,0.011718459,0
chr1_16245421_16247478,0.011718459,0
chr1_16268826_16274992,0.011718459,0
chr1_163297278_163298697,0.011718459,0
chr1_16464348_16464925,0.011718459,0.0123918
chr1_164768936_164790863,0.011718459,0
chr1_164776779_164790863,0.011718459,0
chr1_164789309_164790863,0.070310753,0
chr1_16528277_16529069,0,0.0123918
chr1_165712404_165723511,0.011718459,0
chr1_165859441_165860559,0,0.0247836
chr1_165859441_165865569,0.011718459,0
chr1_166831440_166833158,0.011718459,0
chr1_167301707_167307495,0.011718459,0
chr1_167301707_167343533,0.011718459,0
chr1_167381196_167382351,0.011718459,0
chr1_167734820_167742605,0.09374767,0
chr1_167734820_167745403,0.035155376,0.061959
chr1_167741512_167742605,0,0.0123918
chr1_167741512_167745403,0,0.0123918
chr1_167921038_167944253,0.046873835,0
chr1_167935867_167944253,0.011718459,0.0123918
chr1_168032859_168037701,0.011718459,0
chr1_16817113_16817421,0,0.0123918
chr1_169199956_169256646,0.09374767,0
chr1_169256541_169279318,0.011718459,0
chr1_169267794_169293738,0.011718459,0
chr1_169292355_169293738,0.023436918,0
chr1_169767998_169770112,0.023436918,0
chr1_169771762_169775229,0.011718459,0
chr1_169923152_169961396,0.023436918,0
chr1_169985603_169993737,0.011718459,0
chr1_170688867_170695542,0.011718459,0
chr1_171483675_171491398,0,0.0123918
chr1_171537386_171544267,0.070310753,0
chr1_171537386_171556890,0.011718459,0
chr1_172011149_172017890,0.011718459,0
chr1_172011149_172038045,0.011718459,0
chr1_172013525_172038045,0.011718459,0
chr1_1721834_1724750,0.023436918,0
chr1_172356273_172357949,0.011718459,0
chr1_172520652_172526934,0.105466129,0.0247836
chr1_172520652_172539870,0.082029211,0
chr1_172520652_172548407,0.082029211,0
chr1_172520652_172560211,0.128903047,0
chr1_172525009_172526934,0.023436918,0
chr1_172525009_172539870,0.105466129,0.0247836
chr1_172525009_172543138,0.011718459,0
chr1_172525009_172560211,0.011718459,0
chr1_1735858_1747301,0.011718459,0
chr1_1735858_1749314,0.058592294,0
chr1_1735858_1756938,0.035155376,0
chr1_173593926_173596298,0.023436918,0
chr1_173702852_173703425,0.011718459,0
chr1_173720903_173726298,0.023436918,0
chr1_173799798_173800768,0.011718459,0
chr1_173799798_173823043,0.011718459,0.0247836
chr1_173814367_173819617,0.011718459,0
chr1_173814367_173823043,0.011718459,0
chr1_173833395_173833842,0.011718459,0
chr1_173834367_173834685,0,0.0123918
chr1_173915614_173934258,0.011718459,0
chr1_173933977_173934258,0.011718459,0
chr1_174200283_174200493,0.011718459,0
chr1_174200283_174247917,0.011718459,0
chr1_174241552_174274265,0.023436918,0
chr1_1747195_1756938,0.105466129,0
chr1_1747195_1770677,0,0.0371754
chr1_175937533_175937676,0.011718459,0
chr1_175956079_175996824,0.011718459,0
chr1_175996708_176015460,0,0.0123918
chr1_176050288_176055026,0.011718459,0
chr1_176050288_176085817,0.011718459,0
chr1_176050288_176105683,0.18749534,0
chr1_176085760_176105683,0.082029211,0.0371754
chr1_176085760_176118210,0.023436918,0
chr1_176104146_176133027,0.023436918,0
chr1_176118142_176133027,0.011718459,0
chr1_176118142_176153828,0.082029211,0
chr1_176132005_176133027,0.011718459,0
chr1_176132005_176153828,0.046873835,0
chr1_176524543_176526377,0,0.0495672
chr1_176903288_176934373,0.023436918,0
chr1_177030214_177030401,0.011718459,0
chr1_17742976_17747324,0,0.0123918
chr1_178252699_178269253,0.011718459,0
chr1_178745817_178754742,0,0.0123918
chr1_178846633_178863159,0.011718459,0
chr1_178846633_178871346,0.011718459,0
chr1_179012850_179023773,0.023436918,0
chr1_179033062_179033631,0.023436918,0.0123918
chr1_179033062_179035994,0.011718459,0
chr1_17907048_17914974,0,0.061959
chr1_179086467_179087899,0.011718459,0
chr1_179086467_179102509,0.011718459,0
chr1_179089325_179091002,0.058592294,0.0123918
chr1_179100446_179100616,0.023436918,0
chr1_179100446_179102509,0.09374767,0.0495672
chr1_179271812_179307031,0.023436918,0
chr1_179304641_179310445,0.023436918,0
chr1_179304641_179320597,0.011718459,0
chr1_179306972_179312770,0.011718459,0
chr1_179310163_179312770,0.011718459,0
chr1_179311249_179312770,0.046873835,0
chr1_179316735_179318077,0.011718459,0
chr1_179316735_179320597,0.011718459,0
chr1_179347772_179364337,0.035155376,0
chr1_179858448_179873157,0.011718459,0
chr1_179955304_179966310,0.023436918,0
chr1_179972309_179975702,0.105466129,0
chr1_179972309_179993717,0.011718459,0
chr1_179972309_180006224,0.011718459,0
chr1_180010273_180017840,0.023436918,0
chr1_180010273_180022301,0,0.0123918
chr1_180031355_180034407,0.011718459,0
chr1_180044157_180059931,0.011718459,0
chr1_180053153_180056852,0.011718459,0
chr1_180366651_180382606,0.046873835,0.0123918
chr1_180366651_180399397,0.011718459,0.0123918
chr1_180793889_180794480,0.011718459,0
chr1_180953813_180957481,0.011718459,0
chr1_180953813_180962561,0.281243011,0.0495672
chr1_180953813_180974599,0.128903047,0.0123918
chr1_181548208_181620577,0.011718459,0
chr1_182841472_182852770,0.011718459,0
chr1_182853748_182853948,0.011718459,0
chr1_183261925_183262928,0.023436918,0
chr1_183495731_183507575,0.011718459,0
chr1_184703665_184718726,0.023436918,0
chr1_185056684_185062408,0.046873835,0
chr1_185143504_185144245,0.011718459,0
chr1_185143504_185154063,0.011718459,0
chr1_185143504_185159774,0.011718459,0
chr1_185153375_185191168,0.011718459,0
chr1_185183639_185200840,0.046873835,0.0123918
chr1_185269569_185276271,0,0.0123918
chr1_186304470_186325581,0.011718459,0
chr1_186312458_186316590,0.011718459,0
chr1_186321108_186324690,0,0.0123918
chr1_186321108_186340175,0.011718459,0
chr1_186359843_186360923,0.035155376,0.0247836
chr1_193038164_193046180,0.035155376,0
chr1_193038164_193051838,0.011718459,0
chr1_193038164_193053787,0.011718459,0
chr1_193038164_193053828,0.023436918,0
chr1_193044950_193046180,0.058592294,0
chr1_19483261_19486775,0.011718459,0
chr1_19495929_19505714,0.011718459,0
chr1_19499358_19501527,0.011718459,0
chr1_19503086_19514034,0.023436918,0
chr1_19518682_19519034,0.011718459,0.0123918
chr1_19519927_19523759,0.035155376,0
chr1_196249990_196285156,0,0.0123918
chr1_196367693_196397399,0.011718459,0
chr1_196398707_196448368,0.023436918,0
chr1_197055933_197065294,0,0.0123918
chr1_197509094_197552383,0.011718459,0
chr1_197552282_197684204,0.046873835,0
chr1_197576203_197627499,0.011718459,0
chr1_197611841_197627499,0.105466129,0
chr1_197611841_197684204,0.023436918,0
chr1_197641167_197643299,0.035155376,0
chr1_198201683_198233365,0.035155376,0
chr1_198201683_198248191,0.011718459,0
chr1_200539039_200575022,0.011718459,0
chr1_200549382_200561368,0.011718459,0
chr1_200558345_200562897,0.011718459,0
chr1_200583446_200584737,0.035155376,0
chr1_200729967_200730226,0.011718459,0
chr1_200729967_200784772,0.140621505,0
chr1_200729967_200801973,0.046873835,0
chr1_200776504_200784772,0.011718459,0
chr1_200784689_200801973,0.011718459,0
chr1_200801328_200822623,0.011718459,0
chr1_201749549_201772842,0.011718459,0
chr1_201779074_201786413,0.011718459,0
chr1_201786216_201786413,0.070310753,0
chr1_201816407_201816766,0.035155376,0
chr1_201821232_201828122,0.035155376,0
chr1_201823723_201828122,0.011718459,0
chr1_201970504_201970895,0.023436918,0
chr1_201970504_201972589,0.023436918,0.0123918
chr1_201970504_201973624,0.011718459,0
chr1_202385915_202398057,0,0.0123918
chr1_202702529_202705520,0,0.0123918
chr1_202704557_202746222,0,0.0123918
chr1_202709802_202733273,0.011718459,0
chr1_202719787_202727638,0.011718459,0
chr1_202724399_202733273,0.035155376,0
chr1_202729543_202742416,0.011718459,0
chr1_202742246_202743863,0.011718459,0
chr1_202862367_202864845,0.011718459,0
chr1_202912886_202914297,0.011718459,0
chr1_203651870_203652526,0.011718459,0
chr1_203668588_203677232,0.011718459,0
chr1_203680005_203691817,0.082029211,0.0123918
chr1_204082043_204083733,0.035155376,0.0123918
chr1_204082043_204086318,0,0.0123918
chr1_204082043_204086835,0.011718459,0
chr1_204437998_204439014,0.011718459,0
chr1_204494612_204501374,0.023436918,0
chr1_205072985_205074296,0.023436918,0
chr1_205138291_205156934,0.023436918,0
chr1_205156546_205156934,0.011718459,0
chr1_205388358_205389702,0.011718459,0
chr1_205585606_205593019,0.281243011,0.099134399
chr1_205588085_205589966,0.035155376,0
chr1_205693054_205698749,0,0.0123918
chr1_205696828_205698749,0.035155376,0
chr1_205763998_205770188,0.011718459,0
chr1_206516200_206516362,0.011718459,0
chr1_206566046_206567030,0.046873835,0
chr1_20662796_20672086,0.023436918,0
chr1_20664139_20677419,0.011718459,0
chr1_2075649_2087531,0,0.0123918
chr1_207930359_207934791,0.011718459,0
chr1_207930359_207940540,0,0.0123918
chr1_208315674_208391347,0.011718459,0
chr1_208383625_208391347,0.046873835,0
chr1_2087434_2106752,0.011718459,0
chr1_210126054_210194599,0,0.0123918
chr1_210139238_210194599,0.011718459,0
chr1_210186978_210194599,0.082029211,0
chr1_21024872_21031392,0.011718459,0
chr1_210267667_210273806,0,0.0123918
chr1_210522277_210591669,0.023436918,0
chr1_21071237_21100103,0.011718459,0
chr1_21076216_21076468,0.023436918,0
chr1_21076216_21100103,0.152339964,0.0123918
chr1_21083659_21100103,0.105466129,0
chr1_21083659_21103243,0.082029211,0
chr1_21083659_21106401,0.011718459,0
chr1_21091870_21100103,0.023436918,0
chr1_210970850_210971102,0.011718459,0
chr1_21097423_21100103,0.070310753,0.0371754
chr1_21097423_21103243,0.035155376,0.0123918
chr1_21137231_21139732,0.011718459,0
chr1_211433450_211462738,0,0.0123918
chr1_21143885_21183990,0.011718459,0
chr1_211444574_211449760,0,0.0123918
chr1_211526581_211534121,0,0.0123918
chr1_21154110_21176023,0.011718459,0
chr1_21155640_21221994,0.011718459,0
chr1_21167349_21191755,0.011718459,0
chr1_21167349_21212864,0.023436918,0
chr1_211952260_211966532,0.257806093,0
chr1_211956571_211966532,0.011718459,0
chr1_211960974_211966532,0.035155376,0
chr1_212179981_212194554,0.023436918,0
chr1_21219112_21231464,0,0.0123918
chr1_21220010_21231464,0,0.0123918
chr1_212216335_212220759,0,0.0123918
chr1_212218002_212220759,0.011718459,0.0123918
chr1_21231376_21268823,0.035155376,0
chr1_21267984_21268823,0.023436918,0
chr1_21267984_21306941,0.011718459,0
chr1_21267984_21307720,0.035155376,0
chr1_21276496_21307720,0.011718459,0
chr1_21276496_21415706,0.011718459,0
chr1_21295967_21306941,0.023436918,0
chr1_21295967_21307720,0.257806093,0.0371754
chr1_21295967_21329301,0.164058423,0.0495672
chr1_21295967_21377487,0.023436918,0
chr1_21295967_21437876,0,0.0123918
chr1_213037067_213046160,0.011718459,0.0123918
chr1_213037067_213058738,0.058592294,0.0123918
chr1_213037067_213061936,0.035155376,0
chr1_213037067_213062599,0,0.0247836
chr1_213046020_213058738,0,0.0123918
chr1_213046020_213062599,0.023436918,0
chr1_21306827_21307720,0.023436918,0.0123918
chr1_21306827_21324126,0.011718459,0
chr1_21306827_21329301,0.046873835,0
chr1_21306827_21377487,0.011718459,0
chr1_21306827_21437876,0,0.0123918
chr1_213139064_213139687,0,0.0123918
chr1_213178375_213180540,0.011718459,0
chr1_21324094_21329301,0.175776882,0
chr1_21324094_21377487,0.070310753,0
chr1_213244348_213277911,0.023436918,0
chr1_213246212_213277911,0.011718459,0
chr1_213251038_213290752,0.046873835,0.0123918
chr1_213277796_213290752,0.011718459,0.0123918
chr1_213277796_213303232,0.023436918,0.0123918
chr1_213290659_213303232,0.023436918,0
chr1_213290659_213341316,0.011718459,0
chr1_21329206_21415706,0.011718459,0
chr1_21329206_21437876,0.023436918,0
chr1_213302870_213341316,0,0.0123918
chr1_213302870_213349835,0.035155376,0
chr1_213403840_213405598,0,0.0123918
chr1_21377359_21415706,0.035155376,0.0247836
chr1_21377359_21437876,0.046873835,0.0371754
chr1_21415631_21437876,0.117184588,0
chr1_214564331_214571344,0,0.0123918
chr1_215342542_215345526,0.035155376,0
chr1_21571482_21573856,0.011718459,0
chr1_215749244_215752480,0.046873835,0.0123918
chr1_215759838_215768813,0.011718459,0
chr1_215775209_215777644,0.011718459,0
chr1_216495225_216500996,0.011718459,0
chr1_217783663_217787544,0.023436918,0
chr1_21797125_21800078,0.011718459,0
chr1_21887119_21896867,0,0.0123918
chr1_220154720_220156740,0.023436918,0
chr1_220275471_220276119,0,0.0123918
chr1_22027991_22030111,0.011718459,0
chr1_22027991_22033361,0,0.0123918
chr1_220287656_220312481,0.011718459,0
chr1_220310151_220311385,0.011718459,0
chr1_220310151_220312481,0.011718459,0
chr1_220324948_220338141,0.011718459,0
chr1_220355599_220356273,0.011718459,0
chr1_220363045_220364626,0.011718459,0
chr1_220368420_220375716,0.011718459,0
chr1_220386229_220387321,0.046873835,0.0495672
chr1_22041882_22048257,0.058592294,0
chr1_22047529_22048257,0.035155376,0
chr1_22074631_22078108,0.035155376,0.0247836
chr1_220771673_220792097,0,0.0123918
chr1_220804377_220826694,0.011718459,0
chr1_222750787_222757639,0,0.0123918
chr1_222889026_222898897,0.011718459,0
chr1_222889026_222903519,0.011718459,0
chr1_222897434_222898897,0,0.0123918
chr1_223946972_223959941,0,0.0247836
chr1_223991876_223994649,0.058592294,0
chr1_22404922_22405374,0.011718459,0
chr1_22404922_22413359,0.023436918,0.0123918
chr1_224377279_224378021,0,0.0123918
chr1_224437914_224491559,0.011718459,0
chr1_224553581_224559125,0.082029211,0.0123918
chr1_224599129_224601037,0.011718459,0
chr1_224605962_224612356,0.023436918,0
chr1_224918164_224922408,0,0.0247836
chr1_225140372_225155285,0,0.0123918
chr1_225140372_225161855,0.234369176,0
chr1_225140372_225195246,0.164058423,0.0247836
chr1_225156461_225226525,0.011718459,0
chr1_225161793_225226525,0.011718459,0
chr1_225211317_225211567,0.011718459,0
chr1_225226396_225239497,0.011718459,0
chr1_225270251_225332330,0.011718459,0
chr1_225305386_225373127,0.011718459,0
chr1_225332099_225373127,0.011718459,0
chr1_225458437_225512534,0.011718459,0
chr1_225594366_225600347,0.011718459,0
chr1_225600156_225603034,0.152339964,0.0247836
chr1_225600156_225607500,0,0.0123918
chr1_225688694_225705008,0.011718459,0
chr1_225688694_225755116,0.023436918,0
chr1_225718256_225742785,0,0.0123918
chr1_225718256_225755116,0.023436918,0
chr1_225742608_225755116,0.09374767,0
chr1_226055588_226055730,0,0.0247836
chr1_226346885_226347059,0.011718459,0
chr1_226453234_226454033,0.023436918,0
chr1_227192695_227204751,0.023436918,0.0123918
chr1_227203781_227223308,0.023436918,0
chr1_227203781_227235711,0.011718459,0
chr1_227210964_227213853,0.011718459,0.0123918
chr1_227213756_227227937,0.011718459,0
chr1_227223172_227235711,0.011718459,0
chr1_227227832_227235711,0,0.0123918
chr1_227300013_227387353,0.011718459,0
chr1_227316810_227333438,0,0.0123918
chr1_227327277_227327443,0,0.0123918
chr1_227327277_227335260,0.046873835,0
chr1_227327277_227348337,0.011718459,0
chr1_227327277_227387353,0,0.0247836
chr1_227330646_227335260,0,0.0123918
chr1_227381487_227400920,0.011718459,0
chr1_227381487_227441856,0.023436918,0
chr1_227400837_227441856,0.011718459,0
chr1_22816373_22818026,0.070310753,0
chr1_228401142_228402799,0,0.0123918
chr1_228496800_228497260,0.011718459,0
chr1_229593908_229599423,0.011718459,0
chr1_229593908_229613507,0.023436918,0
chr1_229596358_229601266,0.023436918,0
chr1_229625702_229634053,0.023436918,0
chr1_229631242_229631794,0.011718459,0
chr1_229763368_229783499,0,0.0123918
chr1_230371760_230372471,0.023436918,0
chr1_230381809_230386306,0.011718459,0
chr1_230798887_230800333,0,0.0123918
chr1_230798887_230807386,0.082029211,0
chr1_230798887_230810870,0.046873835,0
chr1_230798887_230814798,0.011718459,0
chr1_23107914_23111569,0.058592294,0.0123918
chr1_231079552_231097049,0.011718459,0
chr1_231081135_231097049,0.011718459,0
chr1_231090079_231097049,0.105466129,0.0123918
chr1_231506308_231509845,0.117184588,0.0123918
chr1_231672959_231678357,0.18749534,0.111526199
chr1_231829572_231837770,0,0.0123918
chr1_231885672_231935956,0.011718459,0
chr1_231930988_231954263,0.023436918,0.074350799
chr1_231954075_231954263,0.011718459,0
chr1_23232480_23233450,0.011718459,0
chr1_232551240_232568217,0.023436918,0
chr1_232626620_232629406,0,0.0123918
chr1_233150411_233193036,0,0.0123918
chr1_233160892_233193036,0.023436918,0
chr1_233190014_233193036,0.011718459,0.0371754
chr1_233190014_233231609,0.011718459,0
chr1_233225807_233231609,0,0.099134399
chr1_233270759_233297109,0,0.136309799
chr1_233270759_233314921,0,0.0123918
