,SY5Y_exp1_D0,SY5Y_exp1_D2,SY5Y_exp1_D4,SY5Y_exp2_D0,SY5Y_exp2_D4,SY5Y_exp2_D8
chr7_127013396_127017383_-,0.569494707,0.709346496,0.588668263,0.203876653,0.301358657,0.142014484
chr1_1601103_1666274_-,0.54915561,0.464744256,0.353200958,0.135917769,0.120543463,0.121726701
chr15_41961026_41962156_+,0.48813832,0.660426048,0.423841149,0.237856096,0.200905772,0.121726701
chr2_61749746_61761038_-,0.589833804,0.440284032,0.400294419,0.15290749,0.160724617,0.121726701
chr2_73828322_73899622_+,0,0,0,0,0,0.121726701
chr7_99090663_99092254_-,0.24406916,0.440284032,0.282560766,0.15290749,0.28126808,0.121726701
chr3_138289160_138290198_-,0.06101729,0.146761344,0.259014036,0,0.100452886,0.121726701
chr2_72945232_72960247_-,0.06101729,0.36690336,0.235467305,0.067958884,0.14063404,0.121726701
chr1_225140372_225161855_+,0.67119019,0.513664704,0.188373844,0.203876653,0.220996349,0.121726701
chr10_112723883_112745523_+,0.040678193,0.073380672,0.117733653,0.050969163,0,0.121726701
chr14_89192885_89221015_-,0.772885674,0.635965824,0.89477576,0.288825259,0.321449235,0.121726701
chr8_131370263_131374017_-,0.54915561,0.342443136,0.44738788,0.067958884,0.080362309,0.121726701
chr14_99924616_99932150_-,0.772885674,0.73380672,0.376747688,0.254845817,0.341539812,0.101438917
chr17_20107646_20109225_+,0.467799224,0.293522688,0.306107497,0.186886932,0.160724617,0.101438917
chr5_122881111_122893258_+,0.223730063,0.36690336,0.211920575,0.15290749,0.080362309,0.101438917
chr8_131164982_131181313_-,0.203390967,0.391363584,0.211920575,0,0.14063404,0.101438917
chr4_39739040_39776553_+,0.12203458,0,0,0.101938327,0.100452886,0.101438917
chr9_103261047_103279053_+,0.67119019,0.48920448,0.518028072,0.135917769,0.160724617,0.101438917
chr1_7837220_7838229_+,0.162712773,0.097840896,0.094186922,0.033979442,0.040181154,0.101438917
chr17_57808782_57816308_+,0,0.220142016,0.188373844,0.033979442,0.040181154,0.101438917
chr1_67356837_67371058_-,0,0.097840896,0,0,0.040181154,0.101438917
chr2_24181171_24207701_+,0.101695483,0.073380672,0.070640192,0,0,0.101438917
chr2_61709515_61717911_-,0,0.146761344,0.047093461,0.050969163,0,0.101438917
chr18_12999420_13030607_+,0.06101729,0.048920448,0.188373844,0.033979442,0.060271731,0.101438917
chrX_102841577_102863601_+,0,0,0,0,0,0.101438917
chr10_5741488_5756170_+,0.101695483,0.097840896,0,0.050969163,0.060271731,0.081151134
chr12_111991962_111993723_-,0.06101729,0.195681792,0.070640192,0.033979442,0.060271731,0.081151134
chr13_33091994_33101669_-,0.386442837,0.342443136,0.329654227,0.169897211,0.14063404,0.081151134
chr15_41988273_41991357_+,0.284747353,0.36690336,0.094186922,0,0,0.081151134
chr2_58449077_58459247_-,0.162712773,0.12230112,0.094186922,0,0.060271731,0.081151134
chr21_30693542_30702014_+,0.325425547,0.36690336,0.094186922,0.067958884,0.180815194,0.081151134
chr4_73950966_73958017_-,0.040678193,0.097840896,0,0.084948606,0.100452886,0.081151134
chr7_7826419_7841374_+,0.18305187,0,0.164827114,0.067958884,0.040181154,0.081151134
chr7_139415731_139416814_-,0.264408257,0.391363584,0.141280383,0.15290749,0.160724617,0.081151134
chr8_37623044_37623873_+,0.569494707,0.6115056,0.494481341,0.15290749,0.160724617,0.081151134
chr9_33971649_33973235_-,0.325425547,0.293522688,0.188373844,0.084948606,0,0.081151134
chrX_77270159_77275895_+,0,0,0.117733653,0,0.080362309,0.081151134
chr1_65830318_65831879_+,0.203390967,0.293522688,0.164827114,0.118928048,0.080362309,0.081151134
chr1_21097423_21100103_-,0.040678193,0,0,0,0,0.081151134
chr5_78734833_78752841_-,0.18305187,0,0.094186922,0,0.040181154,0.081151134
chr10_116879949_116889297_+,0.406781933,0.513664704,0.306107497,0.254845817,0.160724617,0.081151134
chr11_70265852_70265962_+,0.06101729,0.097840896,0,0.050969163,0.040181154,0.081151134
chr14_89178615_89181539_-,0.142373677,0.220142016,0.070640192,0.135917769,0,0.081151134
chr14_89220856_89221015_-,0.081356387,0.097840896,0.117733653,0,0.120543463,0.081151134
chr6_69723930_69785930_+,0,0,0,0,0,0.081151134
chr9_86293356_86301070_-,0.081356387,0,0.047093461,0.050969163,0.060271731,0.081151134
chr9_87356807_87367000_+,0,0.12230112,0.070640192,0,0.060271731,0.081151134
chr11_65272658_65272846_+,0,0,0,0,0,0.081151134
chr16_69404386_69406258_-,0.142373677,0.171221568,0.094186922,0,0,0.081151134
chr17_4850076_4851635_-,0.12203458,0.195681792,0.047093461,0,0,0.081151134
chr3_25654025_25654148_-,0,0.097840896,0.141280383,0.033979442,0,0.081151134
chr6_158733083_158735300_+,0.203390967,0.317982912,0.259014036,0.186886932,0.200905772,0.081151134
chr6_73005640_73043538_+,0.101695483,0.195681792,0.141280383,0,0.060271731,0.081151134
chr7_24663282_24708279_+,0.264408257,0.12230112,0.141280383,0.186886932,0.100452886,0.081151134
chr7_69647096_69647214_-,0,0,0,0,0.040181154,0.081151134
chr9_88190230_88248289_-,0.040678193,0.097840896,0,0.033979442,0,0.081151134
chrX_73071866_73072109_+,0,0,0,0,0,0.081151134
chrX_73071958_73072109_+,0,0.048920448,0,0.050969163,0.040181154,0.081151134
chr1_1158624_1159348_-,0.081356387,0.12230112,0.070640192,0.067958884,0.080362309,0.06086335
chr1_243708812_243736350_-,0,0,0,0.033979442,0,0.06086335
chr12_70193989_70195501_+,0.06101729,0.12230112,0.117733653,0.050969163,0.080362309,0.06086335
chr15_56680670_56687032_+,0,0,0.094186922,0,0.040181154,0.06086335
chr15_59204762_59209198_-,0.203390967,0.146761344,0.094186922,0.033979442,0,0.06086335
chr15_83819967_83832827_-,0.101695483,0.146761344,0.047093461,0.050969163,0.040181154,0.06086335
chr17_65941525_65944422_+,0.06101729,0.048920448,0.070640192,0.050969163,0,0.06086335
chr18_8718422_8720494_+,0.101695483,0.073380672,0,0,0.040181154,0.06086335
chr18_33606863_33613800_-,0.18305187,0,0.188373844,0.084948606,0.14063404,0.06086335
chr19_5604594_5604947_-,0.06101729,0.073380672,0,0.050969163,0,0.06086335
chr19_30476130_30477324_+,0.447460127,0.269062464,0.188373844,0.101938327,0,0.06086335
chr2_45925080_45928663_+,0.040678193,0,0,0,0,0.06086335
chr2_99786013_99787892_-,0.081356387,0.073380672,0,0.033979442,0,0.06086335
chr2_148730308_148733544_-,0.081356387,0.391363584,0.164827114,0.033979442,0,0.06086335
chr3_27490142_27493989_-,0.040678193,0.097840896,0.117733653,0,0.040181154,0.06086335
chr3_157839892_157841780_+,0.30508645,0.317982912,0.164827114,0.186886932,0.180815194,0.06086335
chr3_169854207_169867032_-,0.12203458,0.195681792,0.070640192,0.033979442,0.14063404,0.06086335
chr4_52729603_52744020_+,0.24406916,0.24460224,0,0.050969163,0,0.06086335
chr4_129913322_129925031_-,0.42712103,0.391363584,0.259014036,0.101938327,0.14063404,0.06086335
chr4_153332455_153333681_-,0.264408257,0.391363584,0.235467305,0.135917769,0.160724617,0.06086335
chr5_138699448_138700432_+,0.06101729,0.146761344,0.141280383,0,0.060271731,0.06086335
chr7_128655033_128658211_-,0.508477417,0.831647616,0.400294419,0.084948606,0.060271731,0.06086335
chr7_155457869_155473602_+,0.142373677,0.12230112,0.188373844,0.101938327,0.180815194,0.06086335
chr9_138773479_138774924_-,0.935598447,0.48920448,0.282560766,0.220866375,0.120543463,0.06086335
chr6_16586011_16658132_-,0,0,0,0,0,0.06086335
chr8_141874411_141900868_-,0.162712773,0.171221568,0.094186922,0.050969163,0.060271731,0.06086335
chr14_102661275_102676199_+,0.081356387,0.12230112,0,0.084948606,0.040181154,0.06086335
chr10_49609655_49618211_+,0.101695483,0.195681792,0.117733653,0.033979442,0.040181154,0.06086335
chr7_33185854_33217203_+,0.081356387,0.048920448,0.070640192,0.084948606,0.040181154,0.06086335
chr8_141856359_141900868_-,0.162712773,0.097840896,0,0.067958884,0.040181154,0.06086335
chr13_26974590_26975761_+,0.101695483,0.097840896,0,0,0,0.06086335
chr5_170610199_170632616_+,0,0.073380672,0,0.033979442,0,0.06086335
chr9_128677965_128697886_+,0.101695483,0,0,0,0,0.06086335
chr8_18656805_18662408_-,0.284747353,0.097840896,0.094186922,0.084948606,0,0.06086335
chr1_92798948_92811471_+,0,0.097840896,0,0,0,0.06086335
chr3_138289160_138291774_-,0.040678193,0.195681792,0.094186922,0,0.060271731,0.06086335
chr16_4382216_4383520_+,0,0.12230112,0.047093461,0,0,0.06086335
chr14_104245082_104263855_-,0.081356387,0.12230112,0.070640192,0,0,0.06086335
chr2_24181171_24199945_+,0,0,0.070640192,0,0,0.06086335
chr21_38792601_38802702_+,0.101695483,0.171221568,0.047093461,0,0,0.06086335
chr20_2944918_2945848_+,0.101695483,0.12230112,0.047093461,0.033979442,0,0.06086335
chr7_101870647_101870949_+,0.081356387,0.097840896,0.094186922,0.033979442,0.040181154,0.06086335
chr4_151388825_151412187_-,0,0,0,0,0,0.06086335
chr3_169831148_169840532_-,0.040678193,0.048920448,0,0,0,0.06086335
chr9_88211277_88248289_-,0.06101729,0.048920448,0.070640192,0.033979442,0.060271731,0.06086335
chrX_44383248_44386611_-,0.101695483,0.12230112,0.141280383,0.101938327,0.080362309,0.06086335
chr22_24698163_24709434_+,0,0.073380672,0,0,0,0.06086335
chr11_76174865_76183884_+,0,0,0,0,0,0.06086335
chr5_92889467_92899169_-,0,0,0,0,0,0.06086335
chr2_135075100_135076310_+,0.081356387,0.048920448,0.094186922,0,0.040181154,0.06086335
chr2_120885264_120932580_+,0.24406916,0.269062464,0.164827114,0.084948606,0,0.06086335
chr8_90734243_90737869_-,0.06101729,0.12230112,0.047093461,0,0.040181154,0.06086335
chr20_34317234_34320057_-,0.06101729,0.073380672,0,0.050969163,0,0.06086335
chr1_33760538_33760906_+,0.12203458,0.269062464,0.141280383,0.050969163,0.040181154,0.06086335
chr6_108225833_108246136_-,0,0.073380672,0,0,0,0.06086335
chr1_35824526_35827390_+,0.162712773,0.220142016,0.117733653,0.067958884,0,0.06086335
chr10_103557737_103573363_-,0,0,0,0,0,0.06086335
chr11_8457041_8486369_-,0,0.195681792,0,0,0.080362309,0.06086335
chr14_89192885_89212627_-,0.345764643,0.269062464,0.141280383,0.101938327,0.120543463,0.06086335
chr15_93540187_93545547_+,0.040678193,0.048920448,0,0,0,0.06086335
chr17_71231615_71233134_+,0.06101729,0.073380672,0,0,0,0.06086335
chr18_9195549_9221997_+,0.081356387,0,0,0.033979442,0.040181154,0.06086335
chr2_55252222_55255356_-,0.162712773,0.097840896,0.141280383,0.067958884,0,0.06086335
chr4_77055328_77065626_-,0.223730063,0.171221568,0.117733653,0.033979442,0.200905772,0.06086335
chr4_148778704_148803083_+,0,0,0,0.050969163,0,0.06086335
chr4_184922478_184932576_+,0.081356387,0.048920448,0,0,0,0.06086335
chr5_80911292_80946158_-,0.081356387,0.097840896,0,0,0.040181154,0.06086335
chr6_18236683_18258636_-,0.101695483,0.097840896,0.047093461,0.118928048,0.14063404,0.06086335
chr9_17330630_17342442_+,0,0.097840896,0.117733653,0,0,0.06086335
chr9_88200378_88248289_-,0,0.073380672,0.117733653,0,0.060271731,0.06086335
chr9_138741983_138758382_-,0.081356387,0.146761344,0.070640192,0.033979442,0,0.06086335
chr10_27311487_27337908_-,0,0.048920448,0,0,0.040181154,0.06086335
chr11_65267237_65267452_-,0,0,0,0,0.080362309,0.06086335
chr11_65267248_65267359_+,0,0,0,0,0,0.06086335
chr11_65267679_65267795_+,0,0,0,0,0.120543463,0.06086335
chr11_65273169_65273273_-,0,0,0,0,0.080362309,0.06086335
chr13_103045074_103045203_-,0,0,0,0.050969163,0,0.06086335
chr14_20811383_20811529_-,0.040678193,0.097840896,0.211920575,0.033979442,0.14063404,0.06086335
chr14_50292585_50298079_-,0,0,0,0,0,0.06086335
chr15_74892842_74893754_+,0,0,0,0,0,0.06086335
chr15_90814793_90814915_-,0,0,0,0,0,0.06086335
chr1_19595066_19630880_-,0,0,0,0,0,0.06086335
chr1_247319708_247323115_-,0.589833804,0.6115056,0.282560766,0.220866375,0.080362309,0.06086335
chr1_52975268_52992045_-,0,0,0,0,0,0.06086335
chr20_42089556_42089678_+,0,0,0,0,0,0.06086335
chr20_47988878_47991529_-,0,0,0,0,0,0.06086335
chr2_44021596_44032385_+,0,0.048920448,0,0,0,0.06086335
chr7_30590252_30614497_-,0,0,0,0,0,0.06086335
chr7_8196746_8275635_-,0,0,0,0,0,0.06086335
chr8_71126138_71128999_-,0.162712773,0.171221568,0.164827114,0,0.060271731,0.06086335
chr9_15474015_15474140_-,0,0,0,0.033979442,0,0.06086335
chr9_33264274_33264399_-,0,0,0.047093461,0,0,0.06086335
chr9_87317074_87325706_+,0,0.048920448,0.141280383,0,0,0.06086335
chrX_21534603_21581570_+,0,0,0,0,0,0.06086335
chrX_73072006_73072109_+,0,0,0,0.101938327,0.040181154,0.06086335
chr1_9991949_9994918_-,0.30508645,0.293522688,0.211920575,0.101938327,0,0.040575567
chr1_21083659_21100103_-,0.081356387,0.146761344,0.047093461,0,0.060271731,0.040575567
chr1_41536267_41541123_-,0.142373677,0.146761344,0.141280383,0.050969163,0.040181154,0.040575567
chr1_100889778_100908552_+,0,0.048920448,0,0,0,0.040575567
chr1_205585606_205593019_-,0.24406916,0.269062464,0.117733653,0.033979442,0,0.040575567
chr1_245018860_245019265_-,0,0,0,0.050969163,0,0.040575567
chr10_105767935_105778666_+,0,0,0,0,0,0.040575567
chr10_112356156_112358048_+,0.12203458,0.220142016,0.141280383,0.067958884,0.080362309,0.040575567
chr11_14880589_14882912_+,0,0,0,0,0,0.040575567
chr11_18312989_18314523_-,0.162712773,0.12230112,0.094186922,0,0,0.040575567
chr11_33127113_33127610_-,0.081356387,0.048920448,0,0,0,0.040575567
chr11_77409532_77413540_-,0,0.073380672,0.070640192,0,0,0.040575567
chr12_42604157_42604482_-,0.101695483,0.073380672,0.094186922,0,0.040181154,0.040575567
chr12_69644909_69656342_+,0.467799224,0.36690336,0.211920575,0.067958884,0.200905772,0.040575567
chr12_116668338_116675510_-,0.081356387,0.12230112,0,0.033979442,0,0.040575567
chr15_60734615_60737990_-,0.142373677,0.073380672,0.070640192,0.033979442,0,0.040575567
chr17_78865520_78867665_+,0.081356387,0.12230112,0.047093461,0.033979442,0,0.040575567
chr19_16790795_16793319_+,0,0,0,0,0,0.040575567
chr19_18650181_18650530_-,0.264408257,0.12230112,0.141280383,0,0.14063404,0.040575567
chr19_47767860_47768203_+,0.101695483,0.048920448,0,0,0.040181154,0.040575567
chr2_37543380_37544322_-,0.284747353,0.195681792,0.047093461,0.067958884,0.040181154,0.040575567
chr2_40655613_40657444_-,0.264408257,0.269062464,0.188373844,0.135917769,0.100452886,0.040575567
chr2_45773871_45789895_-,0.18305187,0.195681792,0.141280383,0.050969163,0.040181154,0.040575567
chr2_148653870_148657467_+,0.081356387,0.317982912,0,0,0.040181154,0.040575567
chr2_202625604_202626541_-,0.101695483,0,0,0,0,0.040575567
chr2_215632206_215646233_-,0,0.073380672,0.117733653,0.067958884,0.100452886,0.040575567
chr22_46125305_46136418_+,0.30508645,0.12230112,0.259014036,0.033979442,0.080362309,0.040575567
chr3_47139445_47147610_-,0,0.12230112,0.117733653,0,0,0.040575567
chr3_56600622_56601081_+,0,0,0,0.050969163,0,0.040575567
chr3_129599152_129599402_-,0.264408257,0.24460224,0.188373844,0,0.060271731,0.040575567
chr4_1902353_1936989_+,0.203390967,0.073380672,0.188373844,0.101938327,0,0.040575567
chr4_39328183_39329376_-,0.040678193,0,0.047093461,0,0.040181154,0.040575567
chr4_87967318_87968746_+,0,0.048920448,0.070640192,0,0,0.040575567
chr4_110412483_110416012_+,0.06101729,0,0,0,0,0.040575567
chr5_56160561_56161804_+,0.24406916,0.12230112,0.117733653,0.067958884,0.040181154,0.040575567
chr5_65284463_65310553_+,0,0,0,0,0,0.040575567
chr6_13632602_13644961_-,0.101695483,0,0.094186922,0.067958884,0.120543463,0.040575567
chr6_155095123_155116273_+,0.223730063,0.146761344,0,0.067958884,0,0.040575567
chr6_159004986_159010814_+,0.142373677,0.269062464,0.235467305,0.033979442,0,0.040575567
chr7_24663285_24690331_+,0.24406916,0.171221568,0.306107497,0.101938327,0.080362309,0.040575567
chr7_24663285_24720139_+,0.06101729,0.048920448,0.047093461,0.033979442,0.120543463,0.040575567
chr7_40027198_40041630_+,0.06101729,0.195681792,0.047093461,0.050969163,0.080362309,0.040575567
chr7_97820040_97823884_+,0.142373677,0.12230112,0.211920575,0.084948606,0.100452886,0.040575567
chr7_128845044_128846428_+,0.101695483,0.269062464,0.094186922,0,0.120543463,0.040575567
chr7_131071879_131084192_+,0.06101729,0.073380672,0.094186922,0,0.040181154,0.040575567
chr9_33953283_33963789_-,0.142373677,0.048920448,0,0.033979442,0,0.040575567
chr9_134381501_134381840_+,0,0,0,0.067958884,0,0.040575567
chr17_53478830_53481229_-,0.06101729,0,0,0.033979442,0,0.040575567
chr7_77210744_77221573_+,0,0,0,0.050969163,0,0.040575567
chr5_72370569_72373320_+,0.101695483,0.146761344,0,0.050969163,0.120543463,0.040575567
chr12_83250789_83251359_+,0.040678193,0.048920448,0.094186922,0,0,0.040575567
chr19_5047487_5082515_+,0.081356387,0.12230112,0,0,0.060271731,0.040575567
chr16_53907698_53913899_+,0,0,0,0,0,0.040575567
chr10_111883775_111890244_+,0.040678193,0,0.094186922,0,0.060271731,0.040575567
chr17_38562636_38563194_-,0.06101729,0,0,0.050969163,0,0.040575567
chr1_52959283_52975384_-,0.18305187,0.048920448,0.094186922,0.067958884,0.100452886,0.040575567
chr7_127344893_127361454_+,0,0.048920448,0,0,0,0.040575567
chr15_59204762_59205895_-,0,0,0,0,0.040181154,0.040575567
chr5_151169884_151170623_+,0.040678193,0.048920448,0.047093461,0,0,0.040575567
chr2_201721405_201721708_-,0.06101729,0.171221568,0.117733653,0,0.060271731,0.040575567
chr1_219366424_219392054_+,0,0,0,0,0,0.040575567
chr9_138741983_138774924_-,0.101695483,0.146761344,0,0.067958884,0.100452886,0.040575567
chr8_100286426_100287482_+,0,0,0,0,0,0.040575567
chrX_53641495_53641706_-,0,0,0,0,0,0.040575567
chr4_88983058_88987031_+,0,0,0,0,0,0.040575567
chr7_72873866_72884813_-,0.040678193,0.073380672,0.117733653,0,0.060271731,0.040575567
chr7_87593949_87607727_+,0.264408257,0.293522688,0.094186922,0.050969163,0,0.040575567
chr5_134705096_134705832_-,0.040678193,0,0,0,0,0.040575567
chr12_124846672_124848345_-,0,0,0,0,0,0.040575567
chr10_76598441_76603236_+,0.12203458,0.048920448,0.235467305,0,0.100452886,0.040575567
chr3_179310432_179319578_-,0,0,0,0,0,0.040575567
chr9_33351558_33352717_+,0.12203458,0.048920448,0,0,0,0.040575567
chr16_68155890_68157024_+,0.162712773,0.146761344,0.141280383,0.033979442,0.080362309,0.040575567
chr4_121675708_121732604_-,0.162712773,0.342443136,0.188373844,0.101938327,0,0.040575567
chr20_10536879_10541468_+,0,0,0,0.033979442,0,0.040575567
chr8_131092148_131104389_-,0,0,0,0,0,0.040575567
chr6_149663821_149691235_+,0.040678193,0,0,0,0,0.040575567
chr2_24283684_24286652_+,0,0,0,0,0,0.040575567
chr7_156619299_156629579_-,0.508477417,0.293522688,0.423841149,0.135917769,0.120543463,0.040575567
chr16_53907698_53922863_+,0.06101729,0,0,0.033979442,0,0.040575567
chr5_127474289_127488497_+,0,0,0.047093461,0,0,0.040575567
chr6_170852689_170858201_-,0,0,0,0,0,0.040575567
chr11_108046973_108047817_-,0.12203458,0.12230112,0.094186922,0.050969163,0,0.040575567
chr3_27478879_27490288_-,0,0,0,0,0,0.040575567
chr22_30366965_30375041_+,0,0.048920448,0,0,0,0.040575567
chr7_148543562_148544397_-,0.30508645,0.220142016,0.211920575,0,0.060271731,0.040575567
chr15_72338065_72338975_-,0,0,0,0,0,0.040575567
chr3_47079156_47098980_-,0,0,0,0,0,0.040575567
chr10_102683732_102685776_+,0.06101729,0,0,0,0.060271731,0.040575567
chr12_1480999_1553916_+,0,0,0,0,0,0.040575567
chr3_119219542_119232566_+,0,0.097840896,0.094186922,0,0,0.040575567
chr7_74119496_74131270_+,0,0,0,0,0,0.040575567
chr13_50279757_50280508_-,0,0,0.047093461,0,0,0.040575567
chr15_72300167_72320134_-,0,0.073380672,0,0,0,0.040575567
chr10_7839010_7844817_+,0.18305187,0.220142016,0.141280383,0.067958884,0,0.040575567
chr8_29959414_29962002_+,0.081356387,0.073380672,0,0.050969163,0,0.040575567
chr20_36685934_36694658_+,0,0.097840896,0,0,0,0.040575567
chr2_230701564_230744844_-,0,0,0,0,0,0.040575567
chr11_3789811_3797251_-,0.06101729,0.048920448,0,0,0,0.040575567
chr4_106367540_106377902_-,0.12203458,0,0,0,0,0.040575567
chr4_52729603_52758017_+,0.081356387,0.048920448,0,0,0.120543463,0.040575567
chr14_50616726_50616948_-,0.101695483,0.146761344,0.094186922,0,0.040181154,0.040575567
chr4_140037803_140060651_-,0.06101729,0.073380672,0,0,0,0.040575567
chr8_141840571_141900868_-,0,0.048920448,0,0,0.040181154,0.040575567
chr4_73956384_73958017_-,0.12203458,0.171221568,0.235467305,0.135917769,0.040181154,0.040575567
chr4_52729603_52752804_+,0,0,0,0,0,0.040575567
chr2_172782047_172809519_+,0.18305187,0.12230112,0.235467305,0.033979442,0,0.040575567
chr19_23316882_23318845_+,0.12203458,0.12230112,0,0,0.040181154,0.040575567
chr13_41826781_41835051_-,0.18305187,0.048920448,0.094186922,0,0,0.040575567
chr9_129102787_129157976_+,0,0,0,0,0,0.040575567
chr15_43120126_43132631_-,0.040678193,0.073380672,0,0,0,0.040575567
chr4_1902353_1906105_+,0.162712773,0.073380672,0.047093461,0.084948606,0,0.040575567
chr21_40641825_40646398_-,0,0.048920448,0,0,0.040181154,0.040575567
chr1_27056142_27059283_+,0,0.12230112,0.070640192,0.084948606,0,0.040575567
chr14_73614503_73614802_+,0.223730063,0.048920448,0.070640192,0.033979442,0,0.040575567
chr5_76342172_76344097_+,0,0,0,0,0,0.040575567
chr9_36352739_36353328_-,0,0.097840896,0.047093461,0.033979442,0,0.040575567
chr1_6867043_6885270_+,0,0.097840896,0,0,0,0.040575567
chr3_128525215_128526514_+,0.081356387,0.073380672,0,0,0,0.040575567
chr9_14639894_14680160_-,0.081356387,0.220142016,0.070640192,0.033979442,0.060271731,0.040575567
chr1_23356962_23377013_+,0.162712773,0.048920448,0.211920575,0,0,0.040575567
chr5_167915607_167919852_+,0,0.048920448,0.047093461,0.033979442,0,0.040575567
chr10_70218861_70229920_-,0,0,0.164827114,0.033979442,0,0.040575567
chr1_94341824_94343418_-,0,0.073380672,0,0,0,0.040575567
chr1_200729967_200784772_+,0,0.048920448,0,0,0.040181154,0.040575567
chr10_86198268_86237420_+,0.162712773,0.12230112,0.070640192,0,0.040181154,0.040575567
chr10_93711160_93713630_+,0,0,0,0,0,0.040575567
chr10_103565802_103567658_-,0,0,0,0,0,0.040575567
chr11_30516843_30557722_-,0,0,0,0,0,0.040575567
chr11_32948703_32956981_+,0.142373677,0.342443136,0.070640192,0.101938327,0.040181154,0.040575567
chr11_103173822_103194718_+,0,0,0,0,0,0.040575567
chr11_107916997_107925682_+,0.101695483,0,0,0,0,0.040575567
chr12_12283717_12288234_-,0,0,0,0,0,0.040575567
chr12_32480395_32481489_+,0.06101729,0.097840896,0,0,0,0.040575567
chr12_70671912_70713144_+,0,0.048920448,0,0,0,0.040575567
chr12_124911168_124922542_-,0,0,0,0,0,0.040575567
chr13_41892942_41910892_+,0.162712773,0.048920448,0.047093461,0,0.040181154,0.040575567
chr13_102521075_102527646_-,0,0,0,0,0,0.040575567
chr14_31371742_31380368_-,0,0,0,0,0,0.040575567
chr14_56078737_56086030_+,0.06101729,0.12230112,0.094186922,0.067958884,0.040181154,0.040575567
chr14_75513079_75516421_-,0,0.048920448,0.070640192,0.033979442,0,0.040575567
chr15_68061940_68065090_+,0,0,0,0,0,0.040575567
chr15_75699396_75705386_-,0,0,0,0,0,0.040575567
chr16_24988536_24990326_-,0,0,0,0,0,0.040575567
chr16_68155890_68191971_+,0,0,0,0,0.040181154,0.040575567
chr17_8473038_8480656_-,0,0,0.047093461,0,0,0.040575567
chr17_28003838_28004759_-,0,0,0,0,0,0.040575567
chr17_65528918_65574373_+,0,0,0,0,0,0.040575567
