,SRR5817025_2242-1_Hepa_Day_96,SRR5817026_2242-1_Hepa_Day_102,SRR5817027_2242-1_Hepa_Day_120,SRR5817028_2242-1_Hepa_Day_137,SRR5817029_2242-1_Hepa_Day_172,SRR5817030_2242-1_Hepa_Day_193,SRR5817031_2242-1_Hepa_Day_224,SRR5817032_2242-1_Hepa_Day_295,SRR5817033_2242-1_Hepa_Day_377,SRR5817034_2242-1_Hepa_Day_450,SRR5817035_2242-1_Hepa_Day_495,SRR5817036_8858-1_Hepa_Day_180,SRR5817037_8858-3_Hepa_Day_100,SRR5817038_8858-3_Hepa_Day_130,SRR5817039_8858-1_Thy1_Day_82,SRR5817040_8858-1_Thy1_Day_93,SRR5817041_8858-1_Thy1_Day_100,SRR5817042_8858-1_Thy1_Day_450,SRR5817043_2242-1_Thy1_Day_100,SRR5817044_2242-1_Thy1_Day_160,SRR5817045_2242-1_Thy1_Day_160b,SRR5817046_2242-1_Thy1_Day_250
chr1_107866904_107867544_-,0,0,0.124176836,0,0,0,0,0,0,0,0,0.085748265,0.148753055,0,0,0,0,0,0,0,0,0
chr1_108690901_108703915_+,0,0,0.017739548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188809827,0,0.030715292,0
chr1_109241896_109242192_-,0,0.02304275,0,0.082336766,0,0.0262985,0,0,0,0,0,0,0,0,0.107998842,0.112044507,0,0,0,0,0.092145876,0
chr1_109242089_109242310_-,0.042585239,0,0,0,0.044445747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10264722
chr1_109242101_109242322_-,0,0,0,0.082336766,0.022222874,0,0,0,0,0,0,0,0,0,0,0.028011127,0,0,0,0,0.030715292,0
chr1_109242193_109242277_-,0.042585239,0.02304275,0.035479096,0.054891177,0.044445747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chr1_109427897_109446876_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030149039,0.14160737,0,0,0
chr1_109533876_109554340_-,0,0,0.017739548,0,0,0,0,0,0.088099711,0,0.083683346,0,0,0,0,0,0,0.090447117,0,0,0.245722335,0
chr1_109538202_109554340_+,0,0,0.070958192,0,0,0.0262985,0,0.022532783,0,0,0,0,0,0,0,0,0,0.030149039,0.188809827,0,0,0
chr1_109544846_109554340_+,0.02129262,0.02304275,0.017739548,0,0.044445747,0,0,0,0,0,0,0.085748265,0,0,0,0,0,0.030149039,0.28321474,0.167643835,0,0
chr1_109547214_109554340_-,0,0,0,0,0,0.0262985,0,0.022532783,0,0,0,0,0.148753055,0,0,0.056022254,0,0.060298078,0.188809827,0,0.184291751,0
chr1_109553538_109554340_-,0,0,0.017739548,0,0,0,0,0,0.088099711,0,0,0,0.148753055,0,0,0,0,0,0,0,0.030715292,0
chr1_109553538_109566143_-,0,0,0,0,0,0,0,0,0,0,0,0,0.29750611,0,0,0,0,0,0.047202457,0,0,0
chr1_110121826_110125187_+,0.042585239,0,0,0,0,0.0262985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chr1_11130957_11137005_-,0,0,0.017739548,0,0,0,0,0,0,0,0,0.085748265,0,0,0,0,0,0,0.14160737,0,0,0
chr1_111492473_111495437_+,0,0,0.070958192,0,0,0,0,0.045065565,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chr1_111690264_111690675_+,0,0,0.017739548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153576459,0
chr1_111690264_111703918_-,0.02129262,0,0.08869774,0,0,0.052597001,0.059935253,0,0,0,0,0.042874133,0,0,0,0,0,0.030149039,0,0,0.030715292,0
chr1_11184555_11193254_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.236012284,0,0.030715292,0
chr1_111998708_112002258_+,0,0,0.017739548,0,0.044445747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030715292,0
chr1_113098490_113159517_+,0.042585239,0.02304275,0.08869774,0,0,0,0,0.022532783,0,0,0.027894449,0,0,0,0,0,0,0,0.047202457,0,0,0
chr1_113119608_113140708_+,0,0,0,0.054891177,0,0,0,0.022532783,0.088099711,0,0,0,0,0,0,0,0,0,0,0,0.030715292,0
chr1_113119608_113143470_+,0,0,0.017739548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122861168,0
chr1_113134147_113159517_-,0,0,0,0,0,0,0.029967626,0,0,0,0,0.042874133,0,0,0,0,0,0,0,0,0.061430584,0
chr1_115005726_115007010_-,0,0,0,0,0.022222874,0,0.059935253,0.022532783,0,0,0,0.128622398,0,0,0,0,0,0.030149039,0.14160737,0,0.337868211,0.10264722
chr1_115262200_115280693_-,0,0,0.017739548,0,0.044445747,0,0,0.022532783,0,0,0.027894449,0,0,0,0,0,0,0,0.094404913,0,0,0
chr1_115267842_115280693_-,0,0.0460855,0.124176836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047202457,0,0.030715292,0
chr1_117944808_117957453_-,0.085170478,0.760410749,0.425749153,0.054891177,0.044445747,0.078895501,0.059935253,0,0.02936657,0,0,0.514489592,0.148753055,0,0.161998264,0.392155775,0,0,0.14160737,0.335287669,0,0.410588882
chr1_117944808_117963271_+,1.362727653,2.511659747,3.299555933,0.329347063,1.266703795,0.420776005,0.689255404,0.405590086,0.67543112,0,0.083683346,5.530763112,7.288899705,0,1.241986688,2.10083451,0,0.180894234,3.115362143,4.358739701,3.378682107,0.615883323
chr1_117944808_117984947_-,0.255511435,0.921709999,1.312726554,0.274455886,0.222228736,0.420776005,0.988931667,0.292926173,0.088099711,0.094441307,0.167366692,1.028979184,6.098875263,0,0.701992476,0.812322677,0.329079866,0.271341352,3.728994081,2.17936985,1.597195178,0.10264722
chr1_117944808_118009049_-,0,0.11521375,0.248353672,0,0,0.157791002,0.029967626,0,0.02936657,0,0,0,0,0,0.107998842,0,0,0,0.188809827,0,0.030715292,0.205294441
chr1_118439455_118463047_-,0,0,0.070958192,0,0,0,0,0,0,0,0,0.042874133,0,0,0,0,0,0,0,0,0,0
chr1_118449128_118461358_-,0,0.02304275,0.106437288,0,0,0,0,0,0,0.094441307,0.027894449,0,0,0,0,0,0,0,0.094404913,0,0,0
chr1_118454616_118461358_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030149039,0.28321474,0,0,0
chr1_12335882_12338095_-,0,0,0.017739548,0,0,0.0262985,0,0,0,0.094441307,0,0,0,0,0,0,0,0.060298078,0,0,0,0
chr1_14099573_14109326_+,0.02129262,0,0.301572316,0.027445589,0,0,0,0.022532783,0,0,0.027894449,0.042874133,0.29750611,0,0,0.028011127,0,0.150745195,0,0,0.030715292,0.205294441
chr1_14104913_14109326_-,0,0,0.017739548,0,0,0.052597001,0,0,0,0,0,0,0,0,0,0,0,0.030149039,0,0,0,0.307941661
chr1_144916749_144917497_-,0,0,0,0,0,0,0.149838131,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061430584,0
chr1_144994591_145021167_-,0,0,0,0,0,0,0,0,0,0,0.027894449,0.042874133,0,0,0,0,0,0,0.094404913,0,0,0
chr1_147120048_147131890_+,0,0,0,0.027445589,0,0,0,0,0,0,0.027894449,0,0,0,0,0,0,0,0.094404913,0,0,0
chr1_149239868_149255307_+,0,0,0,0,0,0,0.119870505,0.022532783,0,0,0,0,0,0,0,0,0,0.030149039,0.047202457,0,0,0
chr1_150198940_150201570_+,0,0,0,0,0,0.052597001,0,0,0,0,0,0,0.446259166,0,0,0,0,0,0,0,0.030715292,0
chr1_150258842_150259405_+,0.085170478,0.02304275,0.124176836,0,0,0.184089502,0.119870505,0.112663913,0.117466282,0.094441307,0,0.300118929,0.29750611,0,0,0.028011127,0,0.090447117,0.094404913,0.335287669,0.184291751,0.10264722
chr1_150413399_150416853_+,0,0.02304275,0,0,0,0,0,0.045065565,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chr1_150413399_150418877_+,0.02129262,0.02304275,0,0,0,0,0,0,0,0,0,0,0.148753055,0,0,0,0,0,0,0,0.061430584,0
chr1_150416727_150432793_-,0.042585239,0,0,0,0,0,0,0,0,0,0.055788897,0,0,0,0,0,0,0.060298078,0,0,0.030715292,0
chr1_150997087_151001420_-,0,0,0,0,0,0,0,0,0,0,0,0.171496531,0,0,0,0.056022254,0,0,0,0,0,0
chr1_151060666_151090615_+,0.02129262,0.02304275,0.035479096,0,0,0.0262985,0.149838131,0,0,0,0.083683346,0,0.148753055,0,0,0.056022254,0,0,0.094404913,0,0.030715292,0
chr1_151065668_151090615_-,0,0,0.017739548,0,0,0,0,0,0,0,0.027894449,0,0,0,0,0.056022254,0,0,0,0,0.030715292,0
chr1_151196721_151209239_-,0,0,0.212874576,0,0,0.105194001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chr1_151196724_151209239_-,0,0.02304275,0,0,0,0.052597001,0,0,0,0,0,0,0,0,0,0,0.987239599,0,0,0,0.030715292,0
chr1_151204147_151205179_-,0,0,0,0,0,0.0262985,0.059935253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chr1_151395873_151403317_-,0.106463098,0.0460855,0.372530509,0.082336766,0,0,0,0,0,0,0.167366692,0,0,0,0,0,0,0.090447117,0.094404913,0,0.337868211,0
chr1_151395873_151414681_+,0.042585239,0,0.070958192,0,0,0,0,0,0,0,0,0,0.29750611,0,0,0,0,0,0,0,0,0
chr1_151400299_151403317_-,0.149048337,0.06912825,0.08869774,0,0,0.078895501,0,0.067598348,0.02936657,0.094441307,0.027894449,0,0.29750611,0,0.107998842,0.056022254,0.329079866,0.030149039,0,0,0,0
chr1_151400299_151414681_-,0,0.02304275,0.070958192,0,0,0,0,0,0,0,0.027894449,0,0.148753055,0,0,0,0,0.120596156,0,0,0,0
chr1_151638409_151655921_+,0,0,0,0,0.066668621,0,0,0,0,0,0.027894449,0,0,0,0,0,0,0,0,0,0,0
chr1_151640948_151655921_+,0,0,0,0,0,0.105194001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030715292,0
chr1_153734046_153737539_+,0,0,0.053218644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.094404913,0,0,0
chr1_153788749_153790647_+,0.042585239,0,0.035479096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chr1_154197560_154218851_-,0,0,0.070958192,0,0,0,0,0,0,0,0,0,0,0,0,0.028011127,0,0,0,0,0,0
chr1_154223517_154224129_+,0,0,0,0,0,0.052597001,0,0,0.02936657,0,0,0,0,0,0,0,0,0.060298078,0,0,0,0
chr1_155324264_155327540_+,0,0,0,0,0,0,0,0,0,0,0,0,0.29750611,0,0,0,0,0,0,0,0.092145876,0
chr1_155385535_155429689_-,0.042585239,0,0,0,0,0.052597001,0,0,0.02936657,0,0,0,0,0,0,0.028011127,0,0,0,0,0.061430584,0
chr1_155408118_155408859_-,0.149048337,0.11521375,0.975675141,0.301901474,0.044445747,0.447074505,0.329643889,0.18026226,0.205565993,0.188882615,0.223155589,0.214370663,1.190024442,0,0.161998264,0,0,0.211043273,0.472024567,0.502931504,0.245722335,0
chr1_155408118_155429689_-,0.127755717,0.20738475,0.106437288,0.027445589,0,0.105194001,0.23974101,0.135196695,0.176199423,0.094441307,0.083683346,0.385867194,0.29750611,0,0,0.028011127,0,0.060298078,0.28321474,0.167643835,0.092145876,0.10264722
chr1_155447677_155452240_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030149039,0,0,0.061430584,0
chr1_155447677_155491409_-,0,0.02304275,0,0,0.022222874,0.105194001,0,0,0,0,0,0.171496531,0,0,0.215997685,0.028011127,0,0,0,0.167643835,0.030715292,0.205294441
chr1_155640111_155649303_-,0,0,0.017739548,0,0.044445747,0.078895501,0,0,0,0,0,0.128622398,0.148753055,0,0,0,0,0.060298078,0,0,0.030715292,0
chr1_155644801_155649303_-,0,0.0460855,0.017739548,0,0,0,0,0.022532783,0,0,0,0,0.148753055,0,0,0,0,0.030149039,0.188809827,0,0.092145876,0.10264722
chr1_155644801_155650247_-,0,0,0.106437288,0,0,0,0,0,0,0,0,0,0,0,0,0.028011127,0,0,0,0,0.061430584,0
chr1_155679564_155699157_-,0,0,0,0,0,0,0,0,0,0,0.027894449,0,0,0,0,0,0,0,0,0,0,0.205294441
chr1_155695173_155695810_-,0,0,0.017739548,0,0,0,0,0,0.117466282,0,0,0,0,0,0,0,0,0.030149039,0.14160737,0.167643835,0,0
chr1_155734791_155736500_-,0,0.02304275,0.017739548,0.054891177,0.044445747,0.157791002,0,0.022532783,0,0,0,0.042874133,0,0,0,0,0,0.060298078,0,0,0,0
chr1_155790397_155796819_-,0.02129262,0,0.017739548,0,0,0,0,0,0,0,0,0.685986122,0,0,0,0,0,0,0,0,0,0
chr1_155823067_155823597_-,0.02129262,0.0460855,0.159655932,0,0,0.052597001,0.209773384,0,0.02936657,0,0.083683346,0.214370663,0.29750611,2.04763155,0.053999421,0.112044507,0,0.120596156,0.094404913,0,0.092145876,0
chr1_155891166_155891709_+,0.02129262,0.02304275,0.283832768,0,0,0.0262985,0.029967626,0,0.058733141,0,0,0.042874133,0,0,0,0,0,0,0.188809827,0,0.092145876,0
chr1_155891166_155893478_+,0,0,0.017739548,0,0,0.052597001,0,0.022532783,0.02936657,0,0.027894449,0,0,0,0,0,0,0.030149039,0,0,0.030715292,0
chr1_155891166_155895634_+,0,0,0.053218644,0,0,0.236686503,0,0.022532783,0,0,0.027894449,0,0.148753055,0,0,0,0,0,0.047202457,0,0.030715292,0
chr1_156641777_156642166_-,0,0,0,0.027445589,0,0,0,0,0,0.094441307,0,0,0,0,0,0.056022254,0,0,0,0,0,0
chr1_160184546_160185166_-,0.02129262,0.0460855,0.017739548,0.054891177,0,0,0.029967626,0,0,0,0.027894449,0,0,0,0,0,0,0,0,0,0,0
chr1_160184766_160185049_+,0,0,0,0.38423824,0,0.078895501,0,0,0,0,0.027894449,0,0,0,0,0,0,0,0,0.167643835,0,0
chr1_160184782_160185063_-,0,0,0,0.082336766,0.022222874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chr1_160184784_160185063_-,0.149048337,0.0460855,0.283832768,1.838854434,1.644492646,0.157791002,0,0.428122868,0.02936657,0.094441307,0.139472243,0,0,0.68254385,0.215997685,0.280111268,0,0,0,0.502931504,0.030715292,0
chr1_160184784_160185121_-,0,0.11521375,0,0,0,0,0,0,0.02936657,0,0.027894449,0,0,0,0,0,0,0,0,0,0,0
chr1_160184813_160185143_-,0,0,0,0,0,0.078895501,0,0,0,0,0,0,0,0,0,0,0,0,0,0.335287669,0,0
chr1_160184816_160185049_+,0,0,0.26609322,0.082336766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chr1_161748034_161753886_+,0,0,0,0,0.066668621,0.052597001,0,0.022532783,0,0,0.055788897,0,0,0,0,0,0,0.030149039,0,0,0.030715292,0
chr1_161748034_161762117_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061430584,0.410588882
chr1_161748034_161772062_+,0,0,0.035479096,0,0,0.078895501,0,0,0,0,0.027894449,0,0,0,0,0.056022254,0,0.090447117,0,0,0.092145876,0
chr1_161761198_161772062_+,0,0,0,0,0,0.078895501,0,0,0.02936657,0,0,0,0,0,0,0,0,0,0,0,0.030715292,0
chr1_161761198_161790951_+,0.02129262,0.02304275,0.017739548,0,0,0,0,0.022532783,0,0,0,0,0,0,0,0,0,0,0,0,0.061430584,0
chr1_161771842_161790951_+,0,0,0,0,0,0,0,0.022532783,0,0,0,0,0,0,0,0,0,0,0.094404913,0,0.061430584,0
chr1_161816239_161833102_+,0,0,0.035479096,0,0,0.078895501,0.059935253,0,0.058733141,0,0.055788897,0.214370663,0,0,0,0,0,0,0,0,0,0
chr1_164776779_164790863_-,0.085170478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030715292,0
chr1_164777747_164778140_-,0.02129262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061430584,0
chr1_167345266_167358998_+,0,0,0.053218644,0,0.066668621,0,0,0,0.058733141,0,0,0.171496531,0,0,0,0,0,0,0,0,0,0
chr1_167734820_167742605_+,0.02129262,0.06912825,0.017739548,0,0.066668621,0,0.089902879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chr1_168007609_168037701_+,0.063877859,0.0460855,0.017739548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chr1_168032859_168037701_+,0,0,0,0,0,0.052597001,0,0,0,0,0,0,0,0,0,0,0,0,0.047202457,0,0,0
chr1_168073715_168074132_-,0.02129262,0.0460855,0.08869774,0,0,0,0,0,0.02936657,0,0,0,0,0,0,0,0,0,0,0,0,0
chr1_169767998_169796340_+,0.063877859,0,0,0,0,0,0.029967626,0,0,0,0,0,0,0,0,0,0,0.030149039,0.14160737,0,0,0
chr1_171481171_171491398_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.094404913,0,0.030715292,0
chr1_171481171_171519379_+,0,0,0,0,0,0,0,0,0,0,0.027894449,0,0,0,0,0.056022254,0,0,0,0,0,0
chr1_171492360_171502100_-,0.042585239,0,0.017739548,0,0,0.052597001,0,0.022532783,0,0,0,0.085748265,0.148753055,0,0,0,0,0,0,0,0.030715292,0.10264722
chr1_171492360_171506612_+,0,0,0.035479096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047202457,0,0,0
chr1_171492360_171556890_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056022254,0,0,0,0,0,0.307941661
chr1_171493960_171502100_-,0,0,0.017739548,0,0,0.078895501,0,0,0,0.094441307,0,0,0,0,0,0,0,0,0,0,0.030715292,0
chr1_171501489_171501731_-,0,0.02304275,0,0,0,0.052597001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chr1_171504567_171530242_+,0,0,0,0,0,0,0.119870505,0.045065565,0,0,0,0,0,0,0,0,0,0,0,0,0.061430584,0
chr1_171519225_171546776_+,0,0,0,0,0.066668621,0,0,0,0.02936657,0,0,0,0,0,0,0,0,0.030149039,0,0,0,0
chr1_171537386_171544267_+,0,0,0.017739548,0,0,0,0,0.045065565,0.02936657,0,0.027894449,0,0,0,0,0.028011127,0,0,0,0,0,0
chr1_171537386_171556890_+,0,0,0.17739548,0,0,0.052597001,0.059935253,0,0,0,0,0,0,0,0,0.196077888,0,0,0,0,0,0
chr1_171548493_171556890_+,0,0.06912825,0,0,0,0,0,0,0,0,0.027894449,0,0,0,0,0,0,0,0.094404913,0,0.092145876,0
chr1_172356273_172357949_-,0,0.02304275,0.035479096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060298078,0,0,0,0
chr1_172520652_172526934_-,0.02129262,0,0.017739548,0,0,0,0,0,0,0,0.027894449,0,0,0.227514617,0,0.028011127,0,0,0,0,0.061430584,0.307941661
chr1_172520652_172539870_+,0.042585239,0.576068749,1.17081017,0.548911771,0.86669207,0.341880504,0.149838131,0.022532783,0,0.094441307,0.027894449,0.728860255,3.867579435,0.227514617,1.403984952,0.756300424,0,0.180894234,2.832147403,2.51465752,1.505049302,0.513236102
chr1_172520652_172548407_-,0,0,0.017739548,0.027445589,0.022222874,0,0,0.022532783,0,0.094441307,0,0,0,0,0.053999421,0.112044507,0,0,0.094404913,0,0.061430584,0
chr1_172520652_172560211_+,0,0.02304275,0.017739548,0,0,0.0262985,0.089902879,0,0,0,0,0.042874133,0,0,0,0.028011127,0,0.060298078,0,0.167643835,0.061430584,0
chr1_172525009_172539870_-,0.042585239,0.06912825,0.195135028,0,0.066668621,0,0,0,0,0,0.055788897,0.042874133,0.148753055,0.455029233,0.161998264,0.028011127,0,0.030149039,0.14160737,0,0.153576459,0.10264722
chr1_173486676_173556969_-,0,0,0,0,0,0,0,0,0.058733141,0.094441307,0,0,0,0,0,0,0,0,0,0,0,0
chr1_173593926_173596298_+,0.02129262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08403338,0,0,0,0,0,0
chr1_173915614_173933325_-,0,0,0.035479096,0,0,0.078895501,0,0,0,0,0,0,0.148753055,0,0,0,0,0,0,0,0,0
chr1_173930215_173933325_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060298078,0,0,0.030715292,0
chr1_175996708_176085817_-,0,0,0,0,0,0,0,0,0,0,0.027894449,0,0,0,0,0,0,0,0,0,0.061430584,0
chr1_176104146_176133027_+,0,0.06912825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090447117,0,0,0,0
chr1_176118142_176133027_+,0,0,0,0,0,0,0,0,0,0,0,0.257244796,0,0,0,0,0,0,0,0.167643835,0.030715292,0
chr1_176524543_176526377_+,0,0,0.070958192,0,0,0,0,0,0,0,0,0,0,0,0.107998842,0,0,0.030149039,0,0,0,0
chr1_178425856_178436556_-,0,0.06912825,0,0,0,0,0,0.045065565,0,0,0.027894449,0,0,0,0,0,0,0,0,0,0.030715292,0
chr1_179304641_179310445_+,0,0,0,0,0,0,0,0,0,0,0.027894449,0,0,0,0.215997685,0,0,0,0,0,0,0
chr1_179304641_179312770_+,0.106463098,0.276513,0.035479096,0,0,0,0,0,0,0,0,0.128622398,0,0,0,0,0,0,0.188809827,0,0,0
chr1_179304641_179319566_-,0.042585239,0,0,0,0,0,0,0,0,0,0.055788897,0,0,0,0,0,0,0,0,0,0,0
chr1_179306972_179312078_+,0,0,0.212874576,0,0,0,0,0,0,0,0,0,0.446259166,0,0,0,0,0,0.047202457,0,0,0
chr1_179347772_179364337_+,0,0,0.017739548,0,0,0,0,0.045065565,0,0,0.027894449,0,0,0,0,0,0,0,0,0,0,0
chr1_179955304_179966310_-,0,0.092171,0.017739548,0.082336766,0,0,0,0,0,0,0,0.085748265,0,0,0,0,0,0.030149039,0.094404913,0,0.030715292,0
chr1_179955304_179972422_+,0,0,0,0,0,0.0262985,0,0.022532783,0,0,0,0,0,0,0,0,0,0,0,0,0.061430584,0
chr1_179955304_179975702_-,0,0,0,0,0,0.052597001,0,0,0,0,0.027894449,0,0,0,0,0,0,0,0,0,0,0
chr1_179955304_179993717_+,0,0,0,0,0.111114368,0,0.029967626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chr1_179972309_179993717_+,0,0,0.159655932,0,0,0,0.089902879,0,0,0,0,0,0,0,0,0,0,0.030149039,0,0,0,0
chr1_179972309_180013308_-,0,0,0,0.219564709,0,0,0.029967626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chr1_179989084_180000629_+,0,0,0,0,0,0,0,0,0,0,0,0,0.29750611,0,0,0,0,0,0.047202457,0,0,0
chr1_179989084_180006224_-,0,0.0460855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030715292,0
chr1_180022105_180034407_-,0,0,0.017739548,0,0,0,0,0,0,0,0,0,0,0,0,0.056022254,0,0,0,0,0,0
chr1_180044157_180068120_-,0,0,0,0.027445589,0,0.0262985,0,0,0,0,0,0,0,0,0,0.028011127,0,0,0,0,0.061430584,0
chr1_180056713_180068120_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.269997106,0.056022254,0,0,0.047202457,0,0.030715292,0.10264722
chr1_180366651_180464660_+,0,0.0460855,0,0,0,0.157791002,0,0,0,0,0.027894449,0,0,0,0,0,0,0,0,0,0,0
chr1_183506280_183519058_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.094404913,0,0.061430584,0
chr1_183881216_183885835_+,0,0,0,0,0,0.078895501,0,0,0,0,0.027894449,0,0,0,0,0,0,0,0,0,0,0
chr1_183920141_183947654_-,0,0.0460855,0.035479096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chr1_184663178_184718726_-,0,0,0.035479096,0,0,0,0,0,0,0,0,0,0.148753055,0,0,0,0,0,0,0,0,0
chr1_185106738_185121067_+,0,0,0,0,0,0,0,0,0.058733141,0,0,0,0,0,0,0,0,0,0.047202457,0,0,0
chr1_185151078_185200840_+,0,0,0.053218644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092145876,0
chr1_185153375_185183787_+,0,0,0,0,0.044445747,0,0,0,0,0,0,0,0,0,0,0.028011127,0,0,0,0,0,0
chr1_185183639_185200840_+,0,0,0.070958192,0.164673531,0.044445747,0.0262985,0,0,0,0,0.027894449,0,0,0,0,0,0,0,0.094404913,0,0.092145876,0
chr1_185268508_185270317_-,0,0,0,0,0,0.052597001,0,0,0,0,0.027894449,0,0,0,0,0,0,0,0,0,0.092145876,0
chr1_186294935_186295345_-,0,0,0,0,0.022222874,0.0262985,0,0,0,0,0,0,0,0,0,0,0,0.060298078,0,0,0,0
chr1_186294935_186300679_-,0,0,0,0,0.111114368,0,0,0,0.02936657,0,0,0,0,0,0,0,0,0,0,0,0,0
chr1_186310160_186316590_-,0,0,0,0,0,0,0.029967626,0,0,0,0,0.128622398,0,0,0,0,0,0,0,0,0,0
chr1_186313507_186322982_-,0,0,0,0.027445589,0,0,0,0,0,0,0,0,0,0,0,0.08403338,0,0,0,0,0,0
